WSI_ID,Batch,Genotype,Treatment,Age ,Comments
103 KO ETS2,0,ETS2ff_Lrat+,CCl4,8mts,
119 ETS2 KO,0,ETS2ff_Lrat+,CCl4,8mts,
120 Ctrl,0,ETS1ff_Lrat-,CCl4,8mts,
121 KO,0,ETS1ff_Lrat+,CCl4,8mts,
122 Ctrl,0,ETS1ff_Lrat-,CCl4,8mts,
124 Ctrl,0,ETS1ff_Lrat-,CCl4,8mts,
132 ETS2 KO,0,ETS2ff_Lrat+,CCl4,8mts,
132 KO,0,ETS1ff_Lrat+,CCl4,8mts,
133 Ctrl,0,ETS1ff_Lrat-,CCl4,8mts,
135 ETS2 KO,0,ETS2ff_Lrat+,CCl4,8mts,
136 ETS2  KO,0,ETS2ff_Lrat+,CCl4,8mts,
137 ETS2 KO,0,ETS2ff_Lrat+,CCl4,8mts,
145 Ctrl R.,0,ETS1ff_Lrat-,Regression,8mts,
147 Ctrl R.,0,ETS1ff_Lrat-,Regression,8mts,
148 KO,0,ETS1ff_Lrat+,CCl4,8mts,typo: hist core name is 148 instead should be 146
150 KO R.,0,ETS1ff_Lrat+,Regression,8mts,
151 Ctrl R.,0,ETS1ff_Lrat-,Regression,8mts,
152 KO R.,0,ETS1ff_Lrat+,Regression,8mts,
155 Ctrl R.,0,ETS1ff_Lrat-,Regression,8mts,
156 KO R.,0,ETS1ff_Lrat+,Regression,8mts,
157 KO R.,0,ETS1ff_Lrat+,Regression,8mts,
158 KO R.,0,ETS1ff_Lrat+,Regression,8mts,
159 KO R.,0,ETS1ff_Lrat+,Regression,8mts,
160 KO R.,0,ETS1ff_Lrat+,Regression,8mts,
161 Ctrl R.,0,ETS1ff_Lrat-,Regression,8mts,
162 KO R.,0,ETS1ff_Lrat+,Regression,8mts,
163 KO R.,0,ETS1ff_Lrat+,Regression,8mts,
168 KO No Injury,0,ETS1ff_Lrat+,No_injury,8mts,
172 KO No Injury,0,ETS1ff_Lrat+,No_injury,8mts,
173 KO No Injury,0,ETS1ff_Lrat+,No_injury,8mts,
174 KO No Injury ETS1,0,ETS1ff_Lrat+,No_injury,8mts,
175 KO No Injury,0,ETS1ff_Lrat+,No_injury,8mts,
2_1   1,0,Serpine1_floxed,WD,8mts,
2_11     1,0,Serpine1_floxed,WD,8mts,
2_12    1,0,Serpine1_floxed,WD,8mts,
2_13     1,0,Serpine1_floxed,WD,8mts,
2_16    1,0,Serpine1_floxed,WD,8mts,
2_17      1,0,Serpine1_floxed,WD,8mts,
2_2   1,0,Serpine1_floxed,WD,8mts,
2_3    1,0,Serpine1_floxed,WD,8mts,
2_5    1,0,Serpine1_floxed,WD,8mts,
2_6   1,0,Serpine1_floxed,WD,8mts,
2_7    1,0,Serpine1_floxed,WD,8mts,
2_9    1,0,Serpine1_floxed,WD,8mts,
3_13     1,0,HSC_Serpine1_KO,WD,8mts,
3_14     1,0,HSC_Serpine1_KO,WD,8mts,
3_2      1,0,HSC_Serpine1_KO,WD,8mts,
3_3    1,0,HSC_Serpine1_KO,WD,8mts,
3_4     1,0,HSC_Serpine1_KO,WD,8mts,
3_5        1,0,HSC_Serpine1_KO,WD,8mts,
3_7     1,0,HSC_Serpine1_KO,WD,8mts,
3_8     1,0,HSC_Serpine1_KO,WD,8mts,
3_9     1,0,HSC_Serpine1_KO,WD,8mts,
35 KO-R ETS2,0,ETS2ff_Lrat+,Regression,8mts,
39 C-R ETS2,0,ETS2ff_Lrat-,Regression,8mts,
56 KO-R ETS2,0,ETS2ff_Lrat+,Regression,8mts,
62 KO-R ETS2,0,ETS2ff_Lrat+,Regression,8mts,
70 KO-R ETS2,0,ETS2ff_Lrat+,Regression,8mts,
71 C-R ETS2,0,ETS2ff_Lrat-,Regression,8mts,
73 C ETS2,0,ETS2ff_Lrat-,CCl4,8mts,
73 C-R ETS2,0,ETS2ff_Lrat-,Regression,8mts,typo: hist core name in WSI is 73 instead should be 72
74 C ETS2,0,ETS2ff_Lrat-,CCl4,8mts,
74 KO,0,ETS1ff_Lrat+,CCl4,8mts,
75 C ETS2,0,ETS2ff_Lrat-,CCl4,8mts,
75 Control,0,ETS1ff_Lrat-,CCl4,8mts,
76 C ETS2,0,ETS2ff_Lrat-,CCl4,8mts,
77 C ETS2,0,ETS2ff_Lrat-,CCl4,8mts,
77 Control,0,ETS1ff_Lrat-,CCl4,8mts,
79 C-R ETS2,0,ETS2ff_Lrat-,Regression,8mts,
80 C-R ETS2,0,ETS2ff_Lrat-,Regression,8mts,
81 KO-R ETS2,0,ETS2ff_Lrat+,Regression,8mts,
81 KO,0,ETS1ff_Lrat+,CCl4,8mts,
82 Control,0,ETS1ff_Lrat-,CCl4,8mts,
84 KO-R ETS2,0,ETS2ff_Lrat+,Regression,8mts,
85 KO-R ETS2,0,ETS2ff_Lrat+,Regression,8mts,
86 KO,0,ETS1ff_Lrat+,CCl4,8mts,
87 Control,0,ETS1ff_Lrat-,CCl4,8mts,
88 C ETS2,0,ETS2ff_Lrat-,CCl4,8mts,
89 C ETS2,0,ETS2ff_Lrat-,CCl4,8mts,
89 KO,0,ETS1ff_Lrat+,CCl4,8mts,
90 C ETS2,0,ETS2ff_Lrat-,CCl4,8mts,
94 C ETS2,0,ETS2ff_Lrat+,CCl4,8mts,
96 KO ETS2,0,ETS2ff_Lrat+,CCl4,8mts,
Ctrl 1 No Injury,0,ETS1ff_Lrat-,No_injury,8mts,
Ctrl 2 No Injury,0,ETS1ff_Lrat-,No_injury,8mts,
Ctrl 3 No Injury,0,ETS1ff_Lrat-,No_injury,8mts,
1-_1,1,Serpine1_floxed,Normal_chow,,
1_2,1,Serpine1_floxed,Normal_chow,,
1_3,1,Serpine1_floxed,Normal_chow,,
1_4,1,Serpine1_floxed,Normal_chow,,
1_5,1,Serpine1_floxed,Normal_chow,,
1_6,1,Serpine1_floxed,Normal_chow,,
1_7,1,Serpine1_floxed,Normal_chow,,
4_10,1,`,,,
4_12,1,,,,
4_2,1,,,,
4_3,1,,,,
4_4,1,,,,
4_5,1,,,,
4_6,1,,,,
4_7,1,,,,
4_8,1,,,,
5-11 Liver,1,,,,
5-12 Liver,1,,,,
5-13 Liver,1,,,,
5_1 Liver,1,,,,
5_2 Liver,1,,,,
5_4 Liver,1,,,,
5-5 Liver,1,,,,
5-6 Liver,1,,,,
5-7 Liver,1,,,,
5_8 Liver,1,,,,
