Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOBP_ZYMOGEN_ACTIVATION,0.6915829709412369,2.27715474843615,0.0,0.0009200042629900503,0.001,23/41,11.61%,CFD;F12;F11;PLAT;ANXA2;F8;F2;S100A10;FGB;C1S;F9;F7;FGG;F5;KLKB1;F10;FGA;CLEC3B;MASP1;CTSZ;HPN;CTSL;HGFAC
prerank,GOBP_HUMORAL_IMMUNE_RESPONSE,0.5589903594215357,2.2718506054545458,0.0,0.00046000213149502515,0.001,77/164,17.29%,CFD;CXCL9;CFHR3;C4BPB;MMP7;SERPING1;REG3A;CFHR1;CCL14;LYZ;NPPB;SPINK5;NOTCH2;CXCL10;IGHG4;C4BPA;F2;C4A;CFHR5;KNG1;FGB;C1S;CTSG;RNASE6;HMGN2;C1QA;C7;BPIFA1;SPON2;CXCL13;C8B;WFDC5;C9;EBI3;CFHR2;CCL16;RARRES2;CXCL12;PRSS2;HPX;COLEC11;RNASE4;CCL11;C4B;CXCL14;DEFA5;FGA;KRT1;B2M;IGHG1;MASP1;PGLYRP1;ANG;IGKV3-20;DCD;CD55;RNASE2;DEFA6;CLU;PTPRC;CAMP;CCL13;GAPDH;C1QB;KRT6A;CXCL1;FCMR;DEFA4;CCL20;CD5L;JCHAIN;CCR6;S100A9;IGHG3;CCL15;GZMK;C8G
prerank,GOBP_FIBRINOLYSIS,0.782537159783628,2.2203474410679633,0.0,0.0009200042629900503,0.002,13/22,8.19%,F12;F11;SERPING1;PLAT;ANXA2;F2;PROS1;FGB;FGG;KLKB1;VTN;FGA;KRT1
prerank,GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION,0.5384230742496103,2.2185157441295558,0.0,0.0006900031972425377,0.002,86/167,23.52%,COL7A1;CST3;LAMA2;COMP;COLEC12;ELN;POSTN;ADAMTSL4;PXDN;COL16A1;COL6A1;LTBP4;MMP7;FBLN1;LRP1;MIA;ANXA2;FBLN5;MMP3;DPT;QSOX1;ADAMTS17;SPINK5;COL18A1;FMOD;CCDC80;MARCO;TNXB;CTSG;COL11A1;MMP1;SMOC1;COL14A1;MMP19;EFEMP2;VWA1;GAS6;AEBP1;VTN;TLL1;PRSS2;SMOC2;ADAMTS2;MMP2;ADAM15;OLFML2B;LUM;ADAMTS8;B4GALT1;MMP10;TIE1;GREM1;HPN;TNFRSF11B;VIT;MYH11;NID1;PTX3;COL12A1;KAZALD1;CTSS;MATN2;SFRP2;P4HA1;ADAMTSL3;ADAMTSL2;HRNR;TGFBR3;DMP1;LAMB2;MMP14;ANTXR1;COL15A1;MMP12;LAMB1;RIC8A;DAG1;TGFB2;ECM2;ANTXR2;ELANE;NOTCH1;LOXL2;FSCN1;LAMC1;LOXL3
prerank,GOBP_REGULATION_OF_AMPA_RECEPTOR_ACTIVITY,-0.6890182737589479,-2.175542416799072,0.0,0.15319781536549054,0.1,11/19,15.87%,MINK1;PSMC4;PSMD1;PSMC3;PSMD4;PSMD13;PSMD7;PSMD3;PSMD11;PSMD6;PSMC2
prerank,GOBP_DISRUPTION_OF_ANATOMICAL_STRUCTURE_IN_ANOTHER_ORGANISM,0.5876372476514965,2.149861492102044,0.0,0.0007360034103920402,0.003,32/73,14.64%,CHGA;CXCL9;GZMM;CFHR1;LYZ;NPPB;PLA2G2A;CXCL10;F2;CFHR5;KNG1;CTSG;HMGN2;C7;CXCL13;C8B;C9;CFHR2;CXCL12;CCL11;CXCL14;DEFA5;PGLYRP1;DCD;DEFA6;CAMP;CCL13;GAPDH;KRT6A;CXCL1;DEFA4;CCL20
prerank,GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,0.555430036270559,2.104907723377031,0.0,0.0029133468328018256,0.014,48/96,17.22%,CXCL9;MMP7;REG3A;CCL14;LYZ;NPPB;SPINK5;CXCL10;IGHG4;F2;KNG1;FGB;CTSG;RNASE6;HMGN2;BPIFA1;SPON2;CXCL13;WFDC5;CCL16;RARRES2;CXCL12;PRSS2;COLEC11;RNASE4;CCL11;CXCL14;DEFA5;FGA;B2M;IGHG1;PGLYRP1;ANG;IGKV3-20;DCD;RNASE2;DEFA6;CAMP;CCL13;GAPDH;KRT6A;CXCL1;DEFA4;CCL20;JCHAIN;S100A9;IGHG3;CCL15
prerank,GOBP_CELLULAR_RESPONSE_TO_ALDEHYDE,-0.7249845949816243,-2.086501067764595,0.0029850746268656717,0.237515992814714,0.259,8/14,13.32%,ADH4;ALDH1A1;ESD;RDH11;TGFB1;PARK7;ADH5;TIMP1
prerank,GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,0.6008851830306151,2.063784597872074,0.0,0.0056514547583674515,0.034,23/53,14.39%,CRP;CHGA;LBP;MMP7;RNASE1;LYZ;PLA2G2A;SSC5D;CTSG;RNASE6;RARRES2;RNASE4;DEFA5;B2M;PGLYRP1;ANG;IL7R;DCD;RNASE2;DEFA6;CAMP;KRT6A;DEFA4
prerank,GOBP_PROTEIN_CONTAINING_COMPLEX_REMODELING,0.6511458369238382,2.0493280034510426,0.0,0.006440029840930352,0.045,15/30,9.13%,APOC1;PLA2G2A;ANGPTL3;MPO;APOA2;CETP;APOE;APOC3;APOA1;PLTP;LPL;APOB;ANGPTL4;PON1;LCAT
prerank,GOBP_COLLAGEN_CATABOLIC_PROCESS,0.6937516092746969,2.04518447920034,0.0,0.006644475232705919,0.051,17/24,21.93%,CST3;CTSB;MMP7;MMP3;MMP1;MMP19;PRSS2;ADAMTS2;MMP2;ADAM15;MMP10;CTSL;CTSS;PEPD;MMP14;MMP12;VSIR
prerank,GOBP_BLOOD_COAGULATION_INTRINSIC_PATHWAY,0.829286901810296,2.039176067881463,0.0,0.007452034530219407,0.065,7/12,9.30%,F12;F11;F8;F9;F7;KLKB1;GP5
prerank,GOBP_CELLULAR_DETOXIFICATION_OF_ALDEHYDE,-0.7718790966354944,-2.031565777565535,0.0,0.3127293905393735,0.429,6/10,11.74%,ADH4;ALDH1A1;ESD;RDH11;PARK7;ADH5
prerank,GOBP_NEGATIVE_REGULATION_OF_COAGULATION,0.6258357540584101,2.0297909652264865,0.0,0.008280038366910453,0.082,16/38,8.19%,F12;F11;SERPING1;PLAT;ANXA2;F2;APOE;KNG1;PROS1;FGB;FGG;KLKB1;VTN;PROC;FGA;KRT1
prerank,GOBP_REGULATION_OF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY,-0.6237025019636022,-2.0026940858714286,0.0,0.3182714303717168,0.533,11/21,15.87%,MINK1;PSMC4;PSMD1;PSMC3;PSMD4;PSMD13;PSMD7;PSMD3;PSMD11;PSMD6;PSMC2
prerank,GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING,0.5709152603895546,2.0016666905460374,0.0,0.013416728835271566,0.137,20/56,9.49%,F12;F11;SPP1;SERPING1;PLAT;ANXA2;REG3A;F2;APOE;KNG1;PROS1;FGB;FGG;KLKB1;VTN;DSG2;PROC;FGA;KRT1;GIT1
prerank,GOBP_FATTY_ACID_BETA_OXIDATION,-0.5301103227313773,-2.001258154125144,0.003205128205128205,0.25865491617522357,0.54,19/40,19.25%,SCP2;CPT1A;EHHADH;ACAA1;ACOX1;HADH;ACADVL;ECH1;ETFB;ECI2;ECHS1;DECR1;HSD17B4;ACADM;HADHA;ETFA;IVD;ACOT8;HSD17B10
prerank,GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_REMODELING,0.7661052307695271,1.997882697202948,0.0,0.012809290123169163,0.139,9/14,9.13%,ANGPTL3;APOA2;CETP;APOE;APOC3;APOA1;LPL;ANGPTL4;LCAT
prerank,GOBP_HOMOPHILIC_CELL_CELL_ADHESION,0.587396589463726,1.995397096374254,0.0,0.012617201321006404,0.147,17/43,11.49%,CDH2;CDH1;CDH15;CDH11;PCDH1;CDH5;CDH6;PIK3CB;CDH3;PCDH12;DSG2;DSC2;CEACAM8;PCDH10;PCDH7;HMCN2;CELSR1
prerank,GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,-0.4015196259115003,-1.9887872136223705,0.0,0.2468187025332903,0.591,62/163,20.25%,HK1;GPT;SCP2;CPT1A;ADH4;EHHADH;ACAA1;ALDOA;ESD;HMGCL;TST;ALDOB;SHMT1;ENO3;ACOX1;HADH;MTAP;ACADVL;TKFC;ECH1;ETFB;AKR1C3;DLD;ECI2;LDHB;ECHS1;GLB1;DECR1;TPI1;SORD;QDPR;GK;GPD2;OTC;NUDT3;PARK7;NUDT5;HSD17B4;ADH5;ACADM;LDHA;ALDH4A1;HADHA;DCXR;PGM1;ETFA;ACSS2;GLUD1;GOT2;RENBP;IVD;CES1;DPYD;ACOT8;BCL2L13;BLMH;MPI;HSD17B10;PNKD;NQO2;SLC27A4;PGK1
prerank,GOBP_HEMATOPOIETIC_STEM_CELL_HOMEOSTASIS,-0.7438897651457785,-1.9885265565180863,0.008379888268156424,0.21257681356916905,0.592,4/10,4.40%,CRISPLD1;FSTL1;MYCT1;UBAP2L
