Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5515623410002624,2.2248853392357315,0.0,0.0,0.0,48/140,8.82%,COL7A1;CDH2;IGFBP2;TAGLN;LAMA2;COMP;ELN;FBN1;POSTN;TNC;COL16A1;CDH11;SPP1;FBLN1;LRP1;FBLN5;FBLN2;SFRP4;MMP3;COL6A3;QSOX1;NOTCH2;VCAN;CDH6;FMOD;COL6A2;VIM;SDC1;COL11A1;MMP1;MXRA5;EFEMP2;SCG2;BASP1;CAPG;ACTA2;COPA;MGP;CXCL12;PRSS2;TPM1;VEGFA;PCOLCE;MMP2;ABI3BP;LUM;GPC1;CD44
prerank,HALLMARK_COAGULATION,0.5608536869416154,2.1890542071642707,0.0,0.0,0.0,40/109,12.97%,APOC1;CFD;COMP;FBN1;CTSB;MMP7;F12;F11;SERPING1;PLAT;LRP1;GSN;GNG12;MMP3;F8;F2;PROS1;C1S;F9;MMP1;FGG;C1QA;APOC3;APOA1;KLKB1;F10;C8B;C9;MMP2;PROC;FGA;ANG;MMP10;ITIH1;HPN;PEF1;CPN1;CLU;CRIP2;CAPN2
prerank,HALLMARK_FATTY_ACID_METABOLISM,-0.47841352116838665,-2.1321353485448444,0.0,0.0,0.0,33/98,12.99%,ADH1C;CPT1A;FH;EHHADH;ALDH1A1;ACAA1;ALDOA;HMGCL;VNN1;ENO3;ACOX1;HADH;CD36;RAP1GDS1;ACADVL;ECH1;SDHC;DLD;CA2;ACO2;UROD;ECI2;ERP29;ECHS1;DECR1;MDH2;GPD2;RDH11;OSTC;HSD17B4;MIF;ACADM;LDHA
prerank,HALLMARK_PEROXISOME,-0.5421449577337814,-2.1214004678812546,0.0,0.0,0.0,21/51,18.39%,SCP2;EHHADH;ALDH1A1;ACAA1;HMGCL;SOD1;MVP;ACOX1;PRDX1;ISOC1;ECH1;ECI2;FDPS;TTR;RDH11;EPHX2;HSD17B4;PRDX5;ACSL5;ACOT8;GSTK1
prerank,HALLMARK_OXIDATIVE_PHOSPHORYLATION,-0.421683890572759,-2.014560246917413,0.0,0.0013810320558786816,0.004,62/138,22.06%,CPT1A;FH;SLC25A6;ACAA1;SLC25A5;NDUFA4;LRPPRC;ATP5F1C;ACADVL;ECH1;ETFB;SLC25A3;SDHC;DLD;UQCRC1;ATP5MG;BAX;ACO2;VDAC2;LDHB;CS;ECHS1;CYCS;DECR1;MDH2;VDAC1;FXN;PRDX3;NDUFV1;NNT;SDHB;COX4I1;OPA1;COX7C;ACADM;LDHA;PHB2;HADHA;AFG3L2;UQCRC2;ETFA;COX6C;GLUD1;ATP5PD;GOT2;COX7A2;TOMM70;OGDH;PDHA1;SDHA;COX6B1;HSD17B10;IMMT;SUCLA2;NQO2;COX5B;NDUFB4;UQCRH;ATP5MF;UQCRB;NDUFS1;ATP5PO
prerank,HALLMARK_ANGIOGENESIS,0.6345556733940113,1.8978983041115813,0.0014925373134328358,0.001316908557162062,0.004,11/24,8.97%,POSTN;PRG2;SPP1;NRP1;VCAN;VTN;SERPINA5;LPL;VEGFA;LUM;PGLYRP1
prerank,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.5145309736233346,1.8102248697542367,0.001321003963011889,0.006913769925100826,0.028,23/54,24.92%,NBL1;CCN5;INHBB;TSKU;OLFML3;MINDY1;SLC16A1;CXCL12;PODXL;B4GALT1;MAST4;CD44;ELF1;CELSR1;BLVRB;FASN;FCMR;PRSS23;DYNLT3;IGF1R;KRT13;CANT1;GFRA1
prerank,HALLMARK_G2M_CHECKPOINT,0.47014245261138726,1.658036856535119,0.002785515320334262,0.03259348678976104,0.145,29/59,24.35%,NOTCH2;MARCKS;HMGN2;HNRNPU;TMPO;GSPT1;NASP;SFPQ;CUL4A;ILF3;KPNB1;SRSF2;NUMA1;HNRNPD;KATNA1;TRA2B;EWSR1;RPA2;DKC1;STMN1;CHMP1A;TOP1;RBM14;HMGA1;SMC1A;BUB3;LMNB1;RASAL2;RAD23B
prerank,HALLMARK_KRAS_SIGNALING_UP,0.4517197384023476,1.6513685173699277,0.0013089005235602095,0.02897198825756537,0.152,26/76,15.99%,RBP4;SPON1;SPP1;PLAT;SPARCL1;NRP1;SCG5;CXCL10;GPNMB;SERPINA3;CFHR2;PCSK1N;DOCK2;ST6GAL1;ANGPTL4;MMP10;YRDC;IL7R;CPE;FCER1G;CTSS;LY96;CCL20;RELN;RETN;LCP1
prerank,HALLMARK_HEDGEHOG_SIGNALING,0.6310510944941654,1.6220502692747762,0.026984126984126985,0.03541543369796545,0.211,6/14,13.99%,NRP1;NRP2;SCG2;VEGFA;CELSR1;MYH9
