Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,REACTOME_FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE,0.7339450769789118,2.423776348841292,0.0,0.0,0.0,19/36,9.30%,F12;F11;SERPING1;F8;F2;KNG1;PROS1;FGB;F9;F7;FGG;F5;KLKB1;F10;SERPINA5;SERPIND1;PROC;FGA;GP5
prerank,REACTOME_INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION,0.800585570934663,2.3679849428974045,0.0,0.0,0.0,14/23,9.30%,F12;F11;SERPING1;F8;F2;KNG1;PROS1;F9;KLKB1;F10;SERPINA5;SERPIND1;PROC;GP5
prerank,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,0.6117453661655629,2.326919684964618,0.0,0.0,0.0,51/89,17.79%,IGFBP1;CDH2;IGFBP2;CST3;MSLN;FBN1;TNC;IGFBP6;SPP1;CHGB;IGFBP7;SPARCL1;CSF1;QSOX1;CHRDL1;VCAN;APOA2;F2;C4A;APOE;KNG1;PRKCSH;HSP90B1;CTSG;MMP1;FGG;F5;SCG2;APOA1;VWA1;MIA3;NUCB1;GAS6;SERPIND1;APOB;MMP2;PROC;FGA;ITIH2;DNAJC3;VGF;PCSK9;AHSG;LGALS1;HRC;PENK;CP;GZMH;TGOLN2;DMP1;PRSS23
prerank,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,0.7531339334379501,2.29273510144008,0.0,0.0,0.0,18/27,10.66%,OMD;PRELP;CSPG4;VCAN;ACAN;FMOD;SDC1;HEXA;OGN;LUM;CHST14;B4GALT1;NCAN;GPC1;GPC4;HEXB;CSPG5;B3GAT3
prerank,REACTOME_SIGNALING_BY_RETINOIC_ACID,-0.7583543970499246,-2.245179849638493,0.0,0.017125418072439055,0.011,8/15,9.78%,ADH1A;ADH1C;ADH4;ALDH1A1;FABP5;AKR1C3;DLD;RDH11
prerank,REACTOME_DISEASES_OF_GLYCOSYLATION,0.6049255634115879,2.2429325810128105,0.0,0.00016087893524958021,0.001,35/70,18.06%,OMD;PRELP;ADAMTSL4;SPON1;CSPG4;ADAMTS17;NOTCH2;LFNG;VCAN;ACAN;FMOD;SDC1;HEXA;SPON2;NOTCH3;ADAMTS2;OGN;LUM;CHST14;DPAGT1;ADAMTS8;B4GALT1;NCAN;GPC1;GPC4;HEXB;CSPG5;B3GAT3;ALG12;AGRN;SBSPON;ADAMTSL3;ADAMTSL2;DCN;THBS2
prerank,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,0.5339133451926503,2.2351170380898284,0.0,0.00013406577937465016,0.001,88/182,21.60%,COL7A1;LAMA2;COMP;LTBP2;ELN;CDH1;FBN1;TNC;PXDN;COL16A1;COL6A1;LTBP4;CTSB;MMP7;SPP1;FBLN1;FBLN5;FBLN2;MMP3;COL6A3;VCAN;ACAN;COL18A1;FMOD;EFEMP1;COL6A2;FGB;SDC1;TNXB;CTSG;COL11A1;MMP1;COL14A1;MMP19;FGG;EFEMP2;LTBP3;MFAP2;KLKB1;ACTA2;SCUBE1;VTN;TLL1;PRSS2;PCOLCE;ADAMTS2;MMP2;CEACAM8;ADAM15;LUM;FGA;ADAMTS8;NCAN;CD44;ITGAL;MMP10;SCUBE3;ASPN;PCOLCE2;CTSL;NID1;CAPN2;CAPN1;COL12A1;AGRN;CTSS;VCAM1;P4HA1;P4HA2;SPARC;DCN;DMP1;ITGB2;ADAM12;LAMB2;MMP14;PSEN1;ITGAE;PDGFA;ICAM1;TIMP2;COL15A1;HAPLN1;MMP12;LAMB1;EMILIN3;P3H3;DAG1
prerank,REACTOME_ANTIMICROBIAL_PEPTIDES,0.7056342361809207,2.2167928009781552,0.0,0.00011491352517827157,0.001,21/34,16.91%,CHGA;REG3A;LYZ;PLA2G2A;LCN2;ITLN1;BPIFB1;CTSG;RNASE6;BPIFA1;PRSS2;DEFA5;PGLYRP1;DCD;DEFA6;CLU;CAMP;DEFA4;CCR6;S100A9;CD4
prerank,REACTOME_SPOP_MEDIATED_PROTEASOMAL_DEGRADATION_OF_PD_L1_CD274,-0.5947079132150309,-2.20232209458468,0.0,0.011416945381626036,0.015,27/37,28.06%,PSMA6;PSMC4;PSMA2;PSMD1;CSNK2A2;PSMA4;CSNK2A1;PSMC3;PSMB1;PSMD13;PSMD7;PSMD3;PSMD11;PSMD6;PSMA7;PSMC2;CUL3;YWHAG;PSMB7;PSMB2;PSMD14;PSMC1;PSMD8;PSMB3;PSMA3;CSNK2B;PSMC5
prerank,REACTOME_REGULATION_OF_PD_L1_CD274_POST_TRANSLATIONAL_MODIFICATION,-0.5226495687013952,-2.1801570383086717,0.0,0.011416945381626036,0.022,37/61,28.06%,DDOST;PSMA6;PSMC4;PSMA2;PSMD1;CSNK2A2;PSMA4;CSNK2A1;ERLIN2;PSMC3;PRKAA1;PSMB1;OSTC;GSK3B;PSMD13;PSMD7;RPN2;PSMD3;PSMD11;PSMD6;PSMA7;PSMC2;RPN1;CUL3;YWHAG;PSMB7;PSMB2;PRKAB1;STT3A;PRKAG1;PSMD14;PSMC1;PSMD8;PSMB3;PSMA3;CSNK2B;PSMC5
