Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5674986083110899,1.6589351693109782,0.002127659574468085,0.08381849695569087,0.076,27/69,22.58%,CXCL9;TNFRSF1B;REG1A;TNFRSF1A;PLA2G2A;CXCL13;CSF1;IL15RA;STAT1;TNFRSF21;CCL7;FAS;CXCL10;CXCL11;A2M;CNTFR;IL1R1;CBL;STAT3;IL17RB;IL6ST;PTPN11;TGFB1;IL18R1;IL3RA;CD44;IFNGR1
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.5117984508423549,1.5512635326633977,0.002028397565922921,0.19268032531887472,0.307,53/128,24.71%,SFRP1;IGFBP2;TAGLN;TNFRSF11B;FSTL3;LRRC15;THBS2;POSTN;CDH11;CAPG;MMP1;COL6A3;MATN2;LAMC2;EDIL3;FAS;VEGFA;INHBA;PRSS2;FMOD;TGFBR3;COL1A1;TNC;LUM;MMP2;LRP1;GAS1;FBLN5;TGFBI;NOTCH2;VCAM1;FBLN1;MMP3;NTM;COMP;FSTL1;CXCL12;CXCL8;MGP;PCOLCE2;SERPINH1;VEGFC;CD59;AREG;TGFB1;WNT5A;FLNA;CD44;CRLF1;NT5E;COL6A2;TFPI2;PLAUR
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.528491643152102,1.548352423934236,0.005202913631633715,0.13254225738115344,0.317,37/83,24.79%,B2M;CXCL9;IL18BP;IL15RA;STAT1;IRF2;ITGB7;CCL7;FAS;CXCL10;HLA-DMA;CXCL11;CD40;SLAMF7;IFIT3;LGALS3BP;GZMA;PTPN6;ST8SIA4;NAMPT;PNP;VCAM1;ISG15;STAT3;CD274;SERPING1;CASP3;IL2RB;C1R;ICAM1;TAPBP;SRI;NFKB1;IDO1;PSME1;LAP3;JAK2
prerank,HALLMARK_ANGIOGENESIS,0.5970440802981718,1.49823145213894,0.03026634382566586,0.17377005466423714,0.488,12/26,20.70%,POSTN;TNFRSF21;STC1;VEGFA;S100A4;LUM;FGFR1;OLR1;PGLYRP1;FSTL1;PRG2;NRP1
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5784507562083281,1.4645841605816845,0.04529616724738676,0.19932447446780144,0.607,9/27,13.24%,B2M;CSF1;IRF2;CXCL10;CXCL11;IFIT3;LGALS3BP;CNP;ISG15
prerank,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.4975890187650782,1.3985446993701134,0.046255506607929514,0.3310149178555027,0.83,19/47,25.98%,TFF3;NBL1;MSMB;NXT1;B4GALT1;INHBB;RHOD;KLK10;IGF1R;IL17RB;IL6ST;CXCL12;MICB;AREG;PPIF;CD44;FASN;JAK2;OLFM1
prerank,HALLMARK_IL2_STAT5_SIGNALING,0.47137030365272176,1.3969424999339741,0.028154327424400417,0.2891300069203273,0.838,28/84,22.58%,TNFRSF1B;CAPG;IL1RL1;CSF1;GABARAPL1;CTSZ;ICOS;TNFRSF21;AGER;HK2;CXCL10;CD48;IRF6;PNP;IGF1R;CDCP1;ALCAM;TNFRSF18;CASP3;IL2RB;SWAP70;NRP1;IL18R1;IL3RA;TNFRSF9;TWSG1;CD44;IFNGR1
prerank,HALLMARK_PEROXISOME,-0.3843838613271828,-1.3866485095972427,0.072,0.2609043617446979,0.2720883534136546,13/33,25.83%,VPS4B;SOD2;IDE;SERPINA6;CEL;ALDH1A1;GSTK1;CTBP1;BCL10;PRDX5;RETSAT;FABP6;MLYCD
prerank,HALLMARK_DNA_REPAIR,0.5116846128725892,1.3523503463247293,0.07094594594594594,0.3765443758055198,0.937,12/36,15.92%,SRSF6;NT5C;NME1;DUT;STX3;MPG;RALA;NUDT9;SURF1;PNP;RRM2B;POLH
prerank,HALLMARK_ALLOGRAFT_REJECTION,0.4474779839917812,1.3512928101629276,0.023255813953488372,0.3378862174026834,0.938,39/121,22.58%,B2M;CXCL9;MBL2;IL18;FCGR2B;CXCL13;CAPG;ICOSLG;CSF1;STAT1;CCL7;FAS;IL12B;INHBA;HLA-DMA;CD40;LCK;NME1;GZMA;PTPN6;PRKCB;ST8SIA4;INHBB;ELANE;LYN;FGR;CRTAM;CD8A;NCR1;IL2RB;ICAM1;CD2;IL9;TAPBP;TGFB1;PRKCG;CD7;FLNA;IFNGR1
prerank,HALLMARK_MYC_TARGETS_V1,0.4624697382576079,1.3454747837694772,0.061375661375661375,0.31871472379005383,0.944,19/68,14.36%,TRA2B;APEX1;CCT7;HDGF;HNRNPA2B1;PRDX3;KPNB1;NME1;SRSF7;SNRPA;DUT;PSMA7;HSP90AB1;SSB;HNRNPA1;XRCC6;GLO1;LDHA;HNRNPR
prerank,HALLMARK_HEDGEHOG_SIGNALING,0.5908698317973723,1.3405378573727518,0.10580645161290322,0.30293603112588935,0.95,7/15,22.04%,UNC5C;VEGFA;DPYSL2;NRP2;CNTFR;NRP1;NRCAM
prerank,HALLMARK_INFLAMMATORY_RESPONSE,0.4507393733178244,1.3279065322996928,0.03472931562819203,0.3075048516362236,0.965,37/107,21.97%,CXCL9;TNFRSF1B;IL18;ICOSLG;CSF1;IL15RA;CCL7;IL12B;CD55;CXCL10;SLAMF1;INHBA;CXCL11;CD40;CD48;LCK;DCBLD2;AXL;IL1R1;NAMPT;LYN;CCL17;OLR1;IL2RB;CXCL8;CX3CL1;CSF3;ICAM4;ICAM1;F3;HBEGF;TAPBP;SRI;NFKB1;IL18R1;TNFRSF9;ADM
