Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,REACTOME_COLLAGEN_DEGRADATION,0.6862208948280156,1.8576738499187315,0.0,0.06368900858320967,0.047,16/38,14.17%,MMP12;MMP7;CTSB;CTSL;COL18A1;MMP1;MMP10;COL6A3;COL15A1;MMP19;PRSS2;COL1A1;MMP8;MMP2;ELANE;MMP3
prerank,REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP,-0.7083899794651884,-1.838778053562149,0.009708737864077669,0.6374871037415849,0.383,4/10,6.22%,PPARA;HMGCS1;MVK;PMVK
prerank,REACTOME_EPH_EPHRIN_SIGNALING,0.6372046588039976,1.7535897066181902,0.0,0.2684036790292408,0.267,19/42,19.76%,EPHA2;EPHB2;EFNA5;EFNB2;EPHA10;EPHB6;ARPC1B;EFNA4;ROCK2;EFNA2;EPHA5;MMP2;LYN;RHOA;RAC1;EPHA7;AP2A2;EPHB3;EPHA4
prerank,REACTOME_EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS,0.6704924507269242,1.7441600422594599,0.0011792452830188679,0.21364461080293617,0.311,16/30,19.76%,EPHA2;EPHB2;EFNA5;EFNB2;EPHA10;EPHB6;EFNA4;EFNA2;EPHA5;MMP2;LYN;RAC1;EPHA7;AP2A2;EPHB3;EPHA4
prerank,REACTOME_CARGO_CONCENTRATION_IN_THE_ER,0.7479839417121981,1.70375232409927,0.0039164490861618795,0.3042919298975573,0.508,10/14,21.41%,LMAN2;MCFD2;CTSZ;F8;TMED10;TGFA;LMAN2L;CD59;AREG;CTSC
prerank,REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE,0.7200279779063525,1.70321416922558,0.0012953367875647669,0.24545541720640174,0.513,11/17,19.76%,EPHA2;EFNA5;EPHA10;EFNA4;ROCK2;EFNA2;EPHA5;LYN;RHOA;EPHA7;EPHA4
prerank,REACTOME_CS_DS_DEGRADATION,-0.6176179719039301,-1.6946104768646861,0.02247191011235955,0.9519554067795352,0.739,2/11,1.19%,GLB1;ARSB
prerank,REACTOME_NEUTROPHIL_DEGRANULATION,0.5364599497300657,1.6701770357587677,0.0,0.34422392734258556,0.704,94/228,21.48%,CHI3L1;B2M;TNFRSF1B;CTSB;SLPI;CST3;LYZ;SIGLEC14;AZU1;IMPDH1;TXNDC5;CRISPLD2;CHIT1;TCN1;CTSZ;MIF;SIRPB1;CD55;GPI;DEFA1;B4GALT1;ARG1;PRSS2;PSMB1;CD300A;PRTN3;BPI;MAPK1;PAFAH1B2;ASAH1;LCN2;PIGR;KPNB1;HP;LGALS3;LILRB2;HSP90AB1;CTSH;GSTP1;NPC2;PTPN6;MPO;MMP8;GDI2;XRCC6;HSPA1A;LTA4H;SERPINA3;CFD;CLEC12A;ELANE;PNP;PYGL;FCGR3B;GSN;CD33;GRN;ANXA2;FGR;S100A12;PPIE;CAMP;FCGR2A;RHOA;CAND1;OLR1;RETN;PGLYRP1;MAPK14;DBNL;NME2;GMFG;CD93;CAP1;RAC1;HSPA8;CEACAM1;LILRA3;GCA;AP2A2;NFASC;SIRPA;S100A9;PDXK;PA2G4;PRDX6;PRG2;CD59;ALDOA;GAA;SIGLEC9;NFKB1;CTSC;CPNE1
prerank,REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING,0.7775333696804104,1.6618875402133533,0.008333333333333333,0.33028744360498985,0.738,8/10,16.11%,SAA1;AGER;MAPK1;LGALS3;PRKCSH;MAPK3;S100A12;CAPZA1
prerank,REACTOME_ANTIMICROBIAL_PEPTIDES,0.5783430105050402,1.6554332037427966,0.0010683760683760685,0.31819230875500387,0.766,25/63,18.91%,CHGA;PI3;RNASE6;GNLY;LYZ;PLA2G2A;BPIFB1;DEFB112;DEFA1;PRSS2;PRTN3;BPI;HTN3;LCN2;BPIFA2;DEFB4A;REG3A;ELANE;DEFA5;CAMP;DEFB123;PGLYRP1;REG3G;DEFB136;S100A9
