Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOMF_SODIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.7475008956854649,-2.158828017416048,0.0,0.005485087418580734,0.004,10/14,15.77%,SLC6A14;CHP1;ATP1B1;SLC5A5;SCN4B;HCN1;SLC4A8;SLC9B2;SLC6A9;SCN2B
prerank,GOMF_METAL_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.4875759454621513,-1.855951343751506,0.0,0.21117586561535828,0.247,22/42,20.46%,ATP4B;SLC6A14;CHP1;ATP1B1;KCNA10;KCNG4;SLC5A5;SLC30A3;SCN4B;CNGA2;SNAP25;HCN1;SLC4A8;CCDC51;KCNN1;SLC9B2;SLC6A9;SCN2B;CACNA2D3;KCNF1;NIPAL4;KCNIP1
prerank,GOMF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.419632524513218,-1.840734850686875,0.0,0.1599817163752714,0.278,34/74,21.60%,ATP4B;SLC6A14;CLCNKB;CHP1;ATP1B1;KCNA10;KCNG4;SLC5A5;APOL1;NDUFS4;CLCA2;SLC30A3;CLIC5;SLC26A11;SCN4B;CNGA2;SNAP25;HCN1;SLC4A8;NDUFB4;ANXA6;CCDC51;KCNN1;SLC9B2;SLC6A9;SCN2B;NDUFB8;CACNA2D3;KCNF1;CLIC1;NIPAL4;KCNIP1;GRID1;CFTR
prerank,GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.48255623230124906,-1.8312672926367657,0.0,0.12787110044566335,0.296,14/35,16.55%,ATP4B;SLC6A14;CHP1;ATP1B1;SLC5A5;NDUFS4;SLC30A3;SLC26A11;SLC6A16;SLC4A8;NDUFB4;SLC9B2;SLC6A9;NDUFB8
prerank,GOMF_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.4393602208318274,-1.767593370071355,0.0,0.17552279739458349,0.434,25/56,20.46%,ATP4B;SLC6A14;CHP1;ATP1B1;KCNA10;KCNG4;SLC5A5;NDUFS4;SLC30A3;SCN4B;CNGA2;SNAP25;HCN1;SLC4A8;NDUFB4;CCDC51;KCNN1;SLC9B2;SLC6A9;SCN2B;NDUFB8;CACNA2D3;KCNF1;NIPAL4;KCNIP1
prerank,GOMF_SECONDARY_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,-0.5783961523923089,-1.761699071909582,0.005208333333333333,0.15129699462918525,0.448,9/17,14.70%,SLC6A14;CHP1;SLC5A5;SLC30A3;SLC26A11;SLC6A16;SLC4A8;SLC9B2;SLC6A9
prerank,GOMF_MOLECULAR_SENSOR_ACTIVITY,-0.5654562200568879,-1.757914357017353,0.009478672985781991,0.13281747392134777,0.453,6/17,15.04%,SYT3;GCK;RAD51;PELO;SYT5;PMS2
prerank,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,0.6000387541638836,1.7567353012833442,0.0,0.16835148047980172,0.148,28/86,13.22%,CHI3L1;COL28A1;PXDN;SPON1;DPT;CILP;MFAP2;MMRN2;FGG;THBS2;PRELP;LAMC2;COL18A1;COL6A3;EDIL3;MATN2;COL1A1;EFEMP1;POSTN;LTBP4;COL15A1;THBS3;ADIPOQ;FBLN1;LUM;AMBN;TNC;FMOD
prerank,GOMF_DNA_ENDONUCLEASE_ACTIVITY,0.7943931209724224,1.722947648462793,0.0013157894736842105,0.16273976446380833,0.272,3/12,7.70%,APEX1;NME1;DNASE1L2
prerank,GOMF_CYSTEINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY,0.7096169144435962,1.7209664390990003,0.001226993865030675,0.1106755103154252,0.277,7/21,4.67%,CST5;CST1;CST2;WFDC2;CST3;CST4;SNCA
