Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_BASE_EXCISION_REPAIR,0.8274351045584221,1.7498187177329914,0.0,0.0780405020327005,0.076,3/10,5.18%,APEX1;PARP1;MPG
prerank,KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.6005278779728223,1.7358185573740217,0.0,0.05087450448967186,0.094,38/83,20.61%,CCL7;CXCL9;STAT1;MAPK1;CCL14;CXCL8;PRKCB;CXCL13;MAPK3;CXCL11;CCL3;AKT2;STAT3;CCL15;CCL28;CXCL14;PTK2B;RHOA;CCL23;CCL18;LYN;ROCK2;FGR;CXCL10;MAP2K1;ARRB1;RAC1;CCL5;NFKB1;CXCL16;PRKACA;CCL2;CCL17;VAV3;SHC1;JAK2;CSK;CRK
prerank,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.6139311554972207,1.7115746184472405,0.0021231422505307855,0.05466127990476069,0.139,22/54,16.55%,CXCL9;STAT1;MAPK1;CXCL8;MAPK3;CXCL11;CCL3;AKT2;MAP2K2;MAPK14;IL12B;MAPK8;IL6;MAPK9;CD40;CXCL10;MAP2K1;RAC1;CCL5;TIRAP;NFKB1;MAPK13
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5783714092699624,1.6780082412528647,0.0010504201680672268,0.07161944806798466,0.232,19/69,12.59%,CCL7;CXCL9;TNFRSF1B;REG1A;STAT1;TNFRSF1A;PLA2G2A;CSF1;IL15RA;CXCL13;CXCL11;CBL;STAT3;TNFRSF21;IL17RB;FAS;IL6;CXCL10;A2M
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.5749713860663933,1.668038144164439,0.0,0.06519839410326879,0.254,38/83,24.42%,B2M;CCL7;CXCL9;STAT1;ITGB7;IRF2;NAMPT;PNP;IL15RA;CXCL11;STAT3;IFIT3;IL18BP;HLA-DMA;ISG15;FAS;PTPN6;CASP3;IL6;CD40;SERPING1;CXCL10;GZMA;ST8SIA4;SLAMF7;CCL5;NFKB1;CCL2;LAP3;IL15;JAK2;IL2RB;PTGS2;LGALS3BP;PSME1;TNFAIP6;SRI;VCAM1
prerank,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.6260271067117416,1.6489456704121028,0.0023121387283236996,0.07359515698020491,0.318,14/30,16.65%,IL18;CCL7;MAPK1;CXCL8;MAPK3;HSP90AB1;MAPK14;MAPK8;IL6;MAPK9;CCL5;NFKB1;MAPK13;CCL2
prerank,KEGG_RETINOL_METABOLISM,-0.600272858075648,-1.6475069815559862,0.019230769230769232,0.49987542562910053,0.348,8/11,29.02%,ADH4;UGT2A1;ADH7;UGT1A8;ALDH1A1;RDH16;CYP3A4;RETSAT
prerank,KEGG_OXIDATIVE_PHOSPHORYLATION,-0.53207537549127,-1.6328545321894516,0.03398058252427184,0.2709907814965534,0.37,7/15,18.47%,ATP4B;COX4I2;PPA1;NDUFS4;NDUFB4;NDUFB8;COX6A2
prerank,KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE,-0.6032579120897527,-1.5849024034946795,0.05343511450381679,0.24184037870608754,0.462,5/10,17.89%,CHST11;CSGALNACT2;B3GAT3;B4GALT7;CHST12
prerank,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.5402048479402263,1.5428703143367524,0.00423728813559322,0.2771637359714716,0.822,34/68,27.39%,YWHAB;MAPK1;MAPK3;AKT2;MAP2K2;MAP3K3;RHOA;MAPK14;PLCG2;MAPK8;YWHAZ;BAD;MAPK9;RPS6KA3;MAP2K1;RAC1;NFKB1;CAMK2B;MAPK13;SHC1;ARHGDIA;CAMK2A;PTPN11;CSK;MAPK11;CRK;NGFR;RPS6KA6;ARHGDIB;RPS6KA5;MAPK12;GRB2;CRKL;NRAS
