Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5783714092699624,1.6780082412528647,0.0010504201680672268,0.05155364127807322,0.049,19/69,12.59%,CCL7;CXCL9;TNFRSF1B;REG1A;STAT1;TNFRSF1A;PLA2G2A;CSF1;IL15RA;CXCL13;CXCL11;CBL;STAT3;TNFRSF21;IL17RB;FAS;IL6;CXCL10;A2M
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.5749713860663933,1.668038144164439,0.0,0.02779853206170615,0.053,38/83,24.42%,B2M;CCL7;CXCL9;STAT1;ITGB7;IRF2;NAMPT;PNP;IL15RA;CXCL11;STAT3;IFIT3;IL18BP;HLA-DMA;ISG15;FAS;PTPN6;CASP3;IL6;CD40;SERPING1;CXCL10;GZMA;ST8SIA4;SLAMF7;CCL5;NFKB1;CCL2;LAP3;IL15;JAK2;IL2RB;PTGS2;LGALS3BP;PSME1;TNFAIP6;SRI;VCAM1
prerank,HALLMARK_ANGIOGENESIS,0.6044893426097773,1.5250919500774234,0.02085747392815759,0.15263921241155015,0.369,9/26,14.19%,STC1;VEGFA;OLR1;POSTN;TNFRSF21;S100A4;LUM;PGLYRP1;FGFR1
prerank,HALLMARK_MYC_TARGETS_V1,0.5265749935815526,1.5095621098861234,0.00425531914893617,0.1402562299476992,0.432,18/68,9.79%,APEX1;HNRNPA2B1;HDGF;SNRPA;TRA2B;KPNB1;HNRNPA1;SSB;NME1;CCT7;GLO1;SRSF7;PRDX3;HSP90AB1;XRCC6;HNRNPR;DUT;NAP1L1
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.5776607044275079,1.489130021559682,0.019767441860465116,0.1427328264404694,0.511,13/27,24.30%,B2M;IRF2;CSF1;CXCL11;IFIT3;ISG15;CNP;CXCL10;LAP3;IL15;LGALS3BP;PSME1;OAS1
prerank,HALLMARK_ALLOGRAFT_REJECTION,0.4900982095748914,1.4812612082547019,0.003054989816700611,0.1278732474838483,0.525,41/121,21.77%,B2M;IL18;CCL7;CXCL9;ICOSLG;STAT1;CD2;MBL2;CAPG;ELANE;CSF1;PRKCB;FCGR2B;CXCL13;NME1;HLA-DMA;FLNA;FAS;PTPN6;IL12B;LYN;IL6;CD40;FGR;INHBB;INHBA;GZMA;LCK;ST8SIA4;UBE2N;CCL5;CCL2;MMP9;IL15;JAK2;CSK;CTSS;IL2RB;EIF5A;TGFB1;MAP4K1
prerank,HALLMARK_ESTROGEN_RESPONSE_EARLY,0.5223953076907322,1.43779669573469,0.023887079261672096,0.17776619723615722,0.692,22/47,28.87%,TFF3;NBL1;MSMB;NXT1;IL17RB;KLK10;FASN;PPIF;INHBB;B4GALT1;AREG;RHOD;MICB;IGF1R;JAK2;ALDH3B1;OLFM1;IL6ST;CXCL12;GFRA1;CD44;ARL3
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4774471684356958,1.4301243174835185,0.005040322580645161,0.1679284050454885,0.723,42/128,22.16%,SFRP1;IGFBP2;TAGLN;TNFRSF11B;FSTL3;LRRC15;THBS2;CAPG;CXCL8;VEGFA;LAMC2;CDH11;COL6A3;MMP1;EDIL3;MATN2;COL1A1;POSTN;FLNA;FAS;IL6;FBLN1;LUM;PRSS2;TNC;INHBA;FMOD;GAS1;LRP1;TGFBR3;AREG;COMP;VEGFC;IL15;NOTCH2;CD59;FBLN5;TGFB1;DPYSL3;NTM;MMP2;MMP3
prerank,HALLMARK_XENOBIOTIC_METABOLISM,0.4754660974249141,1.3979536189668185,0.019832985386221295,0.20891018034251893,0.83,17/86,12.20%,IGFBP1;REG1A;CRP;TNFRSF1A;EPHA2;GABARAPL1;CBR1;MBL2;ANGPTL3;NMT1;ARG1;PTS;PTGDS;HNF4A;FAS;FBLN1;LONP1
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,0.49901193381825026,1.3864940750412598,0.04352557127312296,0.2110666725266998,0.862,19/46,26.17%,TNFRSF1A;YWHAB;MAPK1;PRKCB;MAPK8;MAPK9;RPS6KA3;LCK;PAK4;PTEN;RAC1;UBE2N;VAV3;ARHGDIA;PTPN11;IL2RG;HSP90B1;CDKN1B;GRB2
