Term,NES_ciao,FDR_q_val_ciao,NES_ukbb,FDR_q_val_ukbb
GOBP_ACYL_COA_METABOLIC_PROCESS,-0.9261399123810884,0.8995190792836566,-0.9238088913342183,1.0
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,-1.3196689559045514,0.568840608971806,-0.9270267052049186,1.0
GOBP_AUTOPHAGOSOME_MATURATION,-0.9545136232461794,0.8679012960902894,-0.9080517518470543,1.0
GOBP_AUTOPHAGY_OF_MITOCHONDRION,-1.3087269370599557,0.5828632525765434,-0.8867515386025697,1.0
GOBP_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS,-1.0242266797132311,0.7920076851471731,-0.8997874133754702,1.0
GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION,-0.6193158153369362,0.9806507530002176,-1.387985979132387,1.0
GOBP_CELL_JUNCTION_MAINTENANCE,-0.8255504606177712,0.949917765130875,-0.7326474322395241,1.0
GOBP_CENTROSOME_DUPLICATION,-1.0398801628555676,0.7912124820755311,-0.9870507299760884,1.0
GOBP_CYTOSOLIC_TRANSPORT,-1.325336670447583,0.5643908955025796,-0.6218263854762257,1.0
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING,-1.0135295980088137,0.7996735302982333,-0.9652444532773702,1.0
GOBP_ELECTRON_TRANSPORT_CHAIN,-1.3680980359192172,0.5406336604815941,-1.0272491833220871,1.0
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,-0.8602932120132658,0.9328799381165584,-1.0291187391794538,1.0
GOBP_EXOCYTIC_PROCESS,-1.0075266795563904,0.8011572781635514,-0.5966873613097537,1.0
GOBP_GOLGI_ORGANIZATION,-0.9551394553468574,0.8673751392121494,-1.432663133294877,0.9312375612511348
GOBP_GOLGI_TO_PLASMA_MEMBRANE_TRANSPORT,-0.767867652678061,0.9609706253052315,-0.6388264942529723,1.0
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,-1.1063667236592505,0.7386214829468515,-0.9059416940449904,1.0
GOBP_MACROAUTOPHAGY,-1.3241935073776157,0.5649421156920936,-1.0,1.0
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION,-0.9310325349572172,0.8950730383037258,-1.2501728422665497,0.9819305086099062
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,-1.1939778171434405,0.654036048566506,-1.3628216876367722,0.9681808302060877
GOBP_MITOPHAGY,-1.1077317537446254,0.7363769705772047,-0.8522543710844912,1.0
GOBP_MITOTIC_DNA_INTEGRITY_CHECKPOINT_SIGNALING,-1.030611972678625,0.7856073906823621,-1.122688429761652,1.0
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS,-1.3846244160311707,0.5477530134853521,-1.0,1.0
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,-0.725973619647485,0.9700927343551632,-1.0746272995318848,1.0
GOBP_MONOATOMIC_ANION_TRANSPORT,-0.9115661178185475,0.9023089602548306,-0.9875233439049652,1.0
GOBP_MONOSACCHARIDE_CATABOLIC_PROCESS,-1.1922154157030538,0.6569503963300349,-0.9992127554636958,1.0
GOBP_MULTIVESICULAR_BODY_SORTING_PATHWAY,-1.2548431420505453,0.6261483887610653,-0.8490849817010117,1.0
GOBP_NEGATIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,-0.7805775644771852,0.9574346288423321,-1.5516183178298086,0.6640539749288052
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION,-0.8478728748707719,0.9363953826338939,-1.3130789074981606,0.9802349204659375
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS,-1.1738937021251186,0.6674991118069513,-0.8997903318438181,1.0
GOBP_NEGATIVE_REGULATION_OF_TRANSLATION,-0.6008770829984379,0.9839018062609597,-1.0548199761630588,1.0
GOBP_NUCLEAR_MEMBRANE_ORGANIZATION,-0.5610497743816271,0.9909559110792308,-0.955598522455579,1.0
GOBP_NUCLEOBASE_METABOLIC_PROCESS,-1.3597274217839355,0.5404885989433654,-1.0150374868823273,1.0
GOBP_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,-1.1908060088275072,0.65709635736109,-1.0226583832009721,1.0
GOBP_ORGANELLE_DISASSEMBLY,-0.78307123186115,0.9585901534657886,-1.5144437372601927,0.7017422750379262
GOBP_PEPTIDYL_SERINE_MODIFICATION,-0.9464731879618199,0.8726246627326097,-0.6596534328883873,1.0
GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,-0.6693048731974066,0.9728935293883922,-0.8110934694442635,1.0
GOBP_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS,-0.7696041079066352,0.9623394129894128,-1.3464295222908893,0.8967239012816954
GOBP_PIGMENT_BIOSYNTHETIC_PROCESS,-0.8828201974736409,0.9285331001806848,-0.9014120517681662,1.0
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY,-1.3186993132700442,0.5689066291998077,-1.2294596899136758,1.0
GOBP_POSITIVE_REGULATION_OF_DNA_REPAIR,-0.7334212181673072,0.9659371962791681,-1.3706095725654484,1.0
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR,-0.8794037127796569,0.9249022160508532,-0.6894670098179431,1.0
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,-0.9691384054484586,0.8538128280526139,-0.7370452852275997,1.0
GOBP_POSITIVE_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION,-0.7954725452824103,0.9618607744496535,-1.0112264981446306,1.0
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,-1.18044806493045,0.660056300357313,-0.9795628960614707,1.0
GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION,-0.852271661734106,0.9337369033750552,-0.8939311675944437,1.0
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,-1.015520051687394,0.7978547908378166,-0.9754802292798126,1.0
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,-1.2624808399636769,0.6300548319691199,-1.2062461601576528,1.0
GOBP_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT,-1.0707910791477504,0.7736768393703943,-0.7747070191038155,1.0
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,-1.4829281238805838,0.4870333018517325,-0.8237538747206673,1.0
GOBP_PROTEIN_K63_LINKED_UBIQUITINATION,-0.4340957548650953,0.9984194079614848,-0.7208539905429329,1.0
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM,-0.7617134912376282,0.9621800255464117,-1.5835998897502097,1.0
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,-1.0817800684848387,0.7645439795238012,-1.1181755691453248,1.0
