Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_geriatric,FDR_q_val_swiss_cent_geriatric
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,-0.9692328795837272,0.7801607121430285,-1.1708872538323136,0.36114173928507914
KEGG_AUTOIMMUNE_THYROID_DISEASE,-0.7701367035065106,0.9293999763601002,-1.201947579069805,0.37288029207770607
KEGG_ENDOCYTOSIS,-1.2217296749277144,0.37811083221450387,-1.2636323378197116,0.341988262493331
KEGG_INSULIN_SIGNALING_PATHWAY,-1.1756064874622363,0.40755810963694333,-1.5588898162300497,0.1854881735728259
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,-1.1006583405201538,0.5137568994480441,-1.1395882725117952,0.38929397118975634
KEGG_LEISHMANIA_INFECTION,-0.6475964881826557,0.9827028906180657,-1.7346592229974103,0.08278499021874446
KEGG_MAPK_SIGNALING_PATHWAY,-0.7968275754647096,0.9128828155286038,-1.2082654442728278,0.3845144940423262
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,-0.6889407309198803,0.9762355631267808,-1.3549647857298688,0.3310016400893157
KEGG_PPAR_SIGNALING_PATHWAY,-1.2213886537503083,0.36879049676025916,-1.3786995810437221,0.32771652142984176
KEGG_PURINE_METABOLISM,-1.602424186694084,0.11669816414686825,-1.093462057618732,0.4185526834661986
