Term,NES_ciao,FDR_q_val_ciao,NES_necs_cent_off,FDR_q_val_necs_cent_off
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,-1.160178011182147,0.5095737574824805,-0.719491387704793,1.0
REACTOME_BIOLOGICAL_OXIDATIONS,-2.1483642876710065,0.01198779265070734,-1.2119580029193728,0.897802254896867
REACTOME_CARDIAC_CONDUCTION,-0.6975309472607799,0.9567572738592726,-0.8552176333905827,1.0
REACTOME_CIRCADIAN_CLOCK,-2.0225344246324704,0.01675312637521212,-0.8447552282591344,1.0
REACTOME_COMPLEX_IV_ASSEMBLY,-1.9220758447770045,0.023878123572547136,-1.010008654675708,1.0
REACTOME_CYTOPROTECTION_BY_HMOX1,-1.0226638598879045,0.6822110692984604,-1.284018849607402,0.913715681108002
REACTOME_DEUBIQUITINATION,-1.849604002103179,0.03819639815176357,-1.0216839832353655,1.0
REACTOME_DISEASES_OF_CARBOHYDRATE_METABOLISM,-1.144579158231287,0.5338940176732196,-1.1872515168301403,0.9608990307746764
REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,-1.2534049881931613,0.3990276264394251,-1.1540513481105212,1.0
REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING,-1.319617150329249,0.3201987181775425,-0.7819125125822274,1.0
REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES,-1.1987611242303715,0.4540090236539411,-1.0929710986153445,1.0
REACTOME_GLUTATHIONE_CONJUGATION,-1.4856046128603937,0.19444485103081843,-0.7882569533436476,1.0
REACTOME_INSERTION_OF_TAIL_ANCHORED_PROTEINS_INTO_THE_ENDOPLASMIC_RETICULUM_MEMBRANE,-0.9059193566430475,0.7938223482075739,-1.089023744022387,1.0
REACTOME_INTRA_GOLGI_TRAFFIC,-0.8760942267553431,0.8130214220215406,-0.6991777139472345,1.0
REACTOME_ION_HOMEOSTASIS,-0.9248890144158181,0.7731238053291054,-0.9355334749677192,1.0
