Term,NES_ciao,FDR_q_val_ciao,NES_swiss_cent_geriatric,FDR_q_val_swiss_cent_geriatric
REACTOME_BIOLOGICAL_OXIDATIONS,-2.1483642876710065,0.01198779265070734,-1.498027882265555,0.2477182972091242
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,-1.721254915584369,0.0754097515605227,-1.784801972136187,0.14492610056662836
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,-1.5183791970482157,0.1690586143048471,-1.0458936904234593,0.6484818042603181
REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS,-1.14731261102471,0.5308574336536812,-1.0732731850879407,0.6692026257743261
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,-1.047477172186578,0.6488335940055725,-0.8764346102620405,0.8260711708814392
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,-0.953420641575377,0.7421955455093872,-1.7624231021847092,0.09970479851012402
REACTOME_INTERLEUKIN_1_SIGNALING,-1.282432218670001,0.35707228536508606,-1.569889916700463,0.1838428837477853
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS,-1.3759272776821447,0.2689959186859779,-0.7199369497573309,0.9652696518635984
REACTOME_LEISHMANIA_INFECTION,-0.9449034389668848,0.7457843354126685,-1.6013298393004953,0.24735507389943337
REACTOME_MAPK1_MAPK3_SIGNALING,-1.340469483563329,0.30178524288685443,-0.9283271936791211,0.781048163410865
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES,-1.3631360266909422,0.27576000577120313,-1.0062365562770201,0.6766261248767094
REACTOME_METABOLISM_OF_NUCLEOTIDES,-1.3943638986189244,0.259902747842856,-1.4870150346642488,0.23765701153068905
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK,-0.8650993966943716,0.8255085785659048,-0.6244661411690923,0.958727925928861
REACTOME_PROGRAMMED_CELL_DEATH,-0.9053899434161163,0.7923698733058941,-1.3999898933259944,0.33025380927271014
REACTOME_REGULATED_NECROSIS,-1.1099331693024985,0.585190893355172,-1.1729444468644954,0.5975181367591753
