Term,NES_ciao,FDR_q_val_ciao,NES_ukbb,FDR_q_val_ukbb
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,-1.6949495646874528,0.08626136510561892,-1.0572380448033853,0.6175604564536157
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,-1.160178011182147,0.5095737574824805,-1.1004193830861198,0.5957810231445896
REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS,-0.539967165026284,0.9961544321500118,-0.5488038606388722,0.9973866256725595
REACTOME_CELL_CYCLE,-1.0627302701610029,0.6448914700883008,-1.0,0.7037133239683003
REACTOME_CELL_CYCLE_MITOTIC,-1.0136822210931393,0.6868820433307635,-1.0,0.7037133239683003
REACTOME_CIRCADIAN_CLOCK,-2.0225344246324704,0.01675312637521212,-1.5366808486675063,0.23265361486639236
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,-0.7546293591111456,0.9392505863594232,-1.0767898074990812,0.5939554189085319
REACTOME_DNA_REPLICATION,-1.38134634195784,0.26398491154325054,-1.167090596141756,0.4842503890065803
REACTOME_DOWNREGULATION_OF_ERBB2_SIGNALING,-1.1173959668241598,0.5774899892356886,-0.9964045621440415,0.7016245651975663
REACTOME_DOWNSTREAM_SIGNALING_EVENTS_OF_B_CELL_RECEPTOR_BCR,-1.5671769998339444,0.15018040237413915,-0.6576257756026732,1.0
REACTOME_EGFR_DOWNREGULATION,-0.7517282260954921,0.9404626265734524,-1.3254437758424558,0.34095788385591985
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,-1.3113287894805203,0.3256588528897313,-0.6195254872446568,1.0
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING,-1.1408035816067374,0.5389674123344599,-0.804626073174901,0.9590098346439623
REACTOME_G2_M_CHECKPOINTS,-1.3999873606855286,0.2610475354294776,-1.2037470527577214,0.4507625713014281
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM,-0.8913069756046742,0.8070282147791089,-0.924909448750139,0.7446579554189086
REACTOME_INTERLEUKIN_17_SIGNALING,-0.6996629071512837,0.9651322706791862,-0.8053004775703747,0.9832112949552976
REACTOME_INTERLEUKIN_1_SIGNALING,-1.282432218670001,0.35707228536508606,-0.9843930613669474,0.6975081203044804
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES,-1.0084374775941727,0.6773825003833425,-0.8851907825214512,0.8229843986953902
REACTOME_MAPK6_MAPK4_SIGNALING,-1.7356702991301602,0.07452728235228107,-1.1129478864506133,0.5780169100691775
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,-2.004544987702538,0.01783897715879068,-1.1272207587655694,0.5664214340617107
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,-1.7636748143983096,0.06767544597924381,-1.4539648343319116,0.23571611580835256
REACTOME_MITOTIC_G2_G2_M_PHASES,-1.0844397435994169,0.6197988079566474,-1.575483401570508,0.2791698693312836
REACTOME_MTOR_SIGNALLING,-0.5879280393177678,0.9920912423477769,-1.563036555155843,0.27093951398332644
REACTOME_M_PHASE,-0.8917231817316136,0.8087764108343883,-0.6983352515100025,0.999611362046481
REACTOME_NEDDYLATION,-1.529286992231096,0.16236967053158108,-1.2804065917000675,0.38247501921598775
REACTOME_NETRIN_1_SIGNALING,-0.7869091542941784,0.9145066692943763,-0.8765570133422212,0.8333282090699461
REACTOME_NOD1_2_SIGNALING_PATHWAY,-0.8053636852519721,0.8997201650799819,-0.9638813511256596,0.7303612605687932
REACTOME_OPIOID_SIGNALLING,-1.3031199015406465,0.3359870929774881,-0.7420174958284343,1.0
REACTOME_OVARIAN_TUMOR_DOMAIN_PROTEASES,-0.8065827846356113,0.9030829902686427,-1.479096005438362,0.21858770845169267
REACTOME_OXIDATIVE_STRESS_INDUCED_SENESCENCE,-1.0375892831161844,0.6601414326611824,-0.8052540218453267,0.9705700909390379
REACTOME_PEROXISOMAL_PROTEIN_IMPORT,-1.8916837013291854,0.028420906588303114,-1.2992587478295965,0.36148868116337307
REACTOME_PHASE_II_CONJUGATION_OF_COMPOUNDS,-1.6513200939568071,0.10129058250162123,-0.7903965069801857,0.9649807840122981
REACTOME_PTEN_REGULATION,-1.529366537327109,0.16390664161740348,-1.2467843878795302,0.39217695789563584
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS,-1.006986981739512,0.6727672919151926,-1.6861908557711782,0.3115552139379964
REACTOME_RAB_GERANYLGERANYLATION,-1.9215851013586664,0.02337755482904379,-1.6208525247637884,0.3780827934555836
REACTOME_RAB_REGULATION_OF_TRAFFICKING,-1.126006578246492,0.5605690604799675,-1.3899549165559368,0.2651147468979906
REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE,-0.42443368429415795,0.9989095353449601,-0.5921201207293219,1.0
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,-0.6898369907117897,0.9593704435248127,-1.6069134916552335,0.3523443504996157
REACTOME_REGULATION_OF_TP53_ACTIVITY,-1.3863458760050944,0.26150859364656304,-1.7272647804929442,0.3010607225211376
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,-1.5832050340673254,0.1404576192475328,-0.9085886694821759,0.7762374569614522
REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING,-0.6746367355167531,0.9677063402867029,-1.2792798288216356,0.3720774229613584
REACTOME_SIGNALING_BY_ERBB2,-1.213915011013476,0.4377187162846523,-1.5112753509544248,0.22939439297706218
REACTOME_SIGNALING_BY_FGFR4,-0.7724733926655665,0.924178292097856,-0.7675657543913542,0.9820588290433251
REACTOME_SIGNALING_BY_HEDGEHOG,-1.217273424878003,0.4365134749660225,-1.4373739829553864,0.23290959616862772
