Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOBP_MONOCYTE_CHEMOTAXIS,0.7658225347655613,1.9380933900139172,0.0,0.030656827748252527,0.02,7/17,3.88%,IL6;CCN3;TNFRSF11A;CXCL10;CCL3;CXCL17;CCL7
prerank,GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION,0.7023078079456053,1.8206851072218455,0.0010319917440660474,0.08890480046993232,0.121,10/18,12.21%,IL17A;TREM2;TNFRSF11A;CCL3;LILRB4;IFNG;FSTL3;DLK1;TNFRSF11B;TNF
prerank,GOBP_POSITIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,0.717394845868731,1.7687966564519149,0.0010548523206751054,0.1417026704808117,0.243,10/14,21.91%,CXCL9;GH1;CXCL10;ACTN4;IFNG;F2R;LCN2;FGF19;ACE2;CD4
prerank,GOBP_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,0.6370637336768163,1.740115064055792,0.0,0.1589045571617756,0.334,15/29,17.61%,PTN;IL6;CCN3;CXCL10;CCL3;CXCL17;CCL7;CXCL8;PGF;LGALS9;VEGFA;RARRES2;SLAMF1;PADI2;CCL4
prerank,GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT,0.6265916261915878,1.715397869851547,0.0010235414534288639,0.19129860514909575,0.443,14/28,22.05%,CXCL9;GH1;CXCL10;ACTN4;IFNG;F2R;LCN2;TNF;EPO;FGF19;ACE2;TGFB1;CD4;IL1B
prerank,GOBP_HUMORAL_IMMUNE_RESPONSE,0.5741820139834569,1.6932127429201609,0.0,0.22038852836799316,0.548,35/67,24.55%,NPPB;CXCL9;IL6;REG3A;CCL27;IL17A;TREM2;CXCL10;CCL3;CCL7;PI3;IFNG;CXCL8;SPON2;REG1A;CCL20;CCL13;REG1B;TNF;CCL15;CCL18;IL17F;LGALS4;RARRES2;SH2D1A;CD83;CCL4;CCL14;CD59;CCL16;IL1B;CXCL5;MMP7;PRSS2;CCL25
prerank,GOBP_RESPONSE_TO_CHEMOKINE,0.6320153943364549,1.6911391102267108,0.0010319917440660474,0.1938679392841874,0.552,16/26,26.35%,CXCL9;TREM2;CXCL10;CCL3;CXCL17;CCL7;TFF2;CCL13;CCL15;CCL18;PADI2;CCL4;CCL14;CCL16;CCL25;CCL11
prerank,GOBP_POSITIVE_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT,0.7337158289665776,1.6848128078800644,0.003293084522502744,0.18636796535291847,0.578,6/10,11.23%,CXCL9;CXCL10;ACTN4;IFNG;F2R;LCN2
prerank,GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,0.5784415738223463,1.6615774556898248,0.001,0.2244761054010935,0.671,27/50,24.55%,NPPB;CXCL9;REG3A;CCL27;IL17A;CXCL10;CCL3;CCL7;PI3;CXCL8;SPON2;REG1A;CCL20;CCL13;REG1B;CCL15;CCL18;IL17F;LGALS4;RARRES2;CCL4;CCL14;CCL16;CXCL5;MMP7;PRSS2;CCL25
prerank,GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS,0.6179917978594479,1.6609052114990475,0.0010162601626016261,0.20345914682256927,0.674,13/26,17.61%,PTN;IL6;CXCL10;CCL3;CXCL17;CCL7;CXCL8;PGF;LGALS9;VEGFA;RARRES2;SLAMF1;CCL4
