Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_KRAS_SIGNALING_DN,0.5848963563670393,1.4709373224888591,0.021875,0.47456859272682345,0.381,8/17,21.50%,IGFBP2;TNNI3;IFNG;SCGB1A1;TFF2;GP2;ITIH3;IL12B
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.5273619863876517,1.4626209620364679,0.011099899091826439,0.2567027717145093,0.407,16/31,24.97%,CXCL9;IL6;CXCL10;CCL7;REG1A;IL4R;TNF;PLA2G2A;IL12RB1;IL2RA;IL15RA;TGFB1;IL1B;LTBR;FAS;IL10RB
prerank,HALLMARK_MTORC1_SIGNALING,-0.4183098591549296,-1.4613158962996173,0.047058823529411764,0.07788595271210014,0.05622489959839357,11/11,58.95%,LGMN;QDPR;GLRX;ITGB2;LDLR;DAPP1;TFRC;SKAP2;HK2;CTSC;CORO1A
prerank,HALLMARK_ALLOGRAFT_REJECTION,0.47426639591568326,1.3852303039279972,0.015060240963855422,0.357426245486869,0.648,24/53,26.77%,CXCL9;IL6;CCL7;IFNG;IL11;F2R;TIMP1;IL4R;CCL13;TNF;CCL4;IL12RB1;IL2RA;CD40;TGFB1;KLRD1;IL12B;CD4;IL1B;IL16;FAS;CCL11;HCLS1;GBP2
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.4409882080782134,1.2847047109949843,0.06012024048096192,0.6280219101354969,0.909,27/55,35.51%,IL6;ACTA2;IGFBP2;COL6A3;SPP1;CXCL8;FSTL3;DCN;TIMP1;TNFRSF11B;PLAUR;EDIL3;VEGFA;LGALS1;CD59;TGFB1;MFAP5;MMP1;PRSS2;FAS;TNC;CCN2;CDH2;VCAM1;PCOLCE;CXCL1;COMP
prerank,HALLMARK_INFLAMMATORY_RESPONSE,0.4235562458169184,1.2266682643643771,0.12337011033099297,0.7600675425229604,0.974,16/50,22.05%,CXCL9;IL6;CXCL10;CCL7;CXCL8;CCL20;LAMP3;TIMP1;IL4R;PLAUR;CLEC5A;SLAMF1;IL15RA;CD40;IL12B;IL1B
prerank,HALLMARK_XENOBIOTIC_METABOLISM,0.46233544411784394,1.2067755983554338,0.21618852459016394,0.721009568524086,0.982,8/21,25.52%,IGFBP1;FABP1;REG1A;PTGDS;ANGPTL3;FAS;CCL25;SPINT2
prerank,HALLMARK_HYPOXIA,0.444420245015736,1.1938936493009344,0.20101522842639594,0.662799249266034,0.983,9/24,28.71%,IL6;IGFBP1;DCN;PLAUR;PGF;VEGFA;PRDX5;CCN2;ANGPTL4
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.4085892601181869,1.1325086713090724,0.29022403258655805,0.819364935546312,0.997,10/30,24.41%,CXCL9;IL6;CXCL10;CCL7;IL4R;IL18BP;IL15RA;CD40;SAMD9L;FAS
prerank,HALLMARK_INTERFERON_ALPHA_RESPONSE,0.45933096116447397,1.1270281714753014,0.2957446808510638,0.7481112346645068,0.997,7/14,30.65%,CXCL10;LAMP3;IL4R;SAMD9L;GBP2;NUB1;TRIM5
prerank,HALLMARK_APOPTOSIS,0.4027630077953468,1.108224040465627,0.31376518218623484,0.7379020633417076,0.999,19/30,47.85%,IL6;DCN;F2R;TIMP1;TNF;PLAT;IGFBP6;IL1B;FAS;HSPB1;MGMT;LGALS3;CD14;JUN;DIABLO;CD69;IFNGR1;TIMP3;TGFBR3
prerank,HALLMARK_UV_RESPONSE_UP,0.43088338668877973,1.0941511118449885,0.3487394957983193,0.7140487698949047,0.999,2/15,2.50%,IL6;IGFBP2
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.39229866535380586,1.0844769688445326,0.33467336683417087,0.6845407245720248,0.999,23/34,50.76%,IL6;CXCL10;CCL20;PLAUR;TNF;VEGFA;CD83;CCL4;IL15RA;IL12B;IL1B;SERPINB8;TNC;CXCL1;OLR1;JUN;CSF1;CD69;CEBPB;B4GALT1;TANK;CXCL6;PTX3
prerank,HALLMARK_MYOGENESIS,0.4165489305884308,1.0821455499020027,0.3649484536082474,0.6401174707669498,0.999,7/19,27.18%,COL6A3;PDLIM7;FST;AGRN;TGFB1;MB;IGFBP7
prerank,HALLMARK_P53_PATHWAY,0.380043960583614,0.9965162021825442,0.5144927536231884,0.8330322945042272,1.0,10/21,39.11%,F2R;TGFA;TGFB1;FAS;CTSD;PRKAB1;IRAK1;JUN;SDC1;IRAG2
prerank,HALLMARK_UV_RESPONSE_DN,-0.24993597915996893,-0.9944029018678151,0.39285714285714285,0.4756606397774687,0.5642570281124498,3/15,3.19%,GRK5;KIT;CDON
prerank,HALLMARK_KRAS_SIGNALING_UP,0.35778710507822775,0.991721175033026,0.5096642929806714,0.7884216740112295,1.0,14/30,44.38%,CXCL10;SPP1;CCL20;PLAUR;PLAT;SPON1;IL1B;RETN;ANGPTL4;MMP10;TSPAN1;TFPI;GPNMB;ST6GAL1
prerank,HALLMARK_COAGULATION,0.35362189463644983,0.9312110637558538,0.6193415637860082,0.884014249824966,1.0,11/23,45.35%,CTSB;TIMP1;PLAT;VWF;MMP1;MMP7;MMP10;COMP;OLR1;THBD;TIMP3
prerank,HALLMARK_ESTROGEN_RESPONSE_LATE,0.38705177963101695,0.8946918723271486,0.6513661202185792,0.9107459960220652,1.0,2/10,5.83%,KRT19;TFF3
prerank,HALLMARK_IL2_STAT5_SIGNALING,0.28951307601972653,0.8351296032408919,0.7730923694779116,0.9715026380937999,1.0,23/39,53.40%,CXCL10;SPP1;TNFRSF4;CD79B;IL4R;CKAP4;CD83;IL2RA;CST7;AHCY;IL1RL1;CTSZ;IL10;SNX9;CSF1;IFNGR1;HK2;ALCAM;AGER;SELP;IL10RA;CASP3;CD48
prerank,HALLMARK_APICAL_JUNCTION,0.3037406033017641,0.8344982973217013,0.7616632860040567,0.9217668569099945,1.0,16/28,53.68%,ACTN4;COL9A1;TNFRSF11B;NECTIN2;CDSN;VWF;CD276;IKBKG;VCAM1;CDH1;SIRPA;SKAP2;B4GALT1;ICAM5;CDH6;NFASC
prerank,HALLMARK_GLYCOLYSIS,0.3147396310699483,0.8302576093121921,0.7582644628099173,0.8819776780198509,1.0,12/22,52.29%,TFF3;DCN;VEGFA;AGRN;TGFA;ANGPTL4;SDC1;HK2;MERTK;B4GALT1;GUSB;GYS1
prerank,HALLMARK_ADIPOGENESIS,0.2760885120674955,0.7160582559020039,0.8762886597938144,0.9714650490977661,1.0,13/20,60.47%,FABP4;RETN;ANGPTL4;IFNGR1;TANK;LPL;DECR1;ENPP2;LAMA4;OMD;COL4A1;PREB;SPARCL1
prerank,HALLMARK_COMPLEMENT,0.24236602487330228,0.6839164155352191,0.9236947791164659,0.9520219700401735,1.0,15/40,45.21%,IL6;CTSB;TIMP1;PLAUR;PLAT;CD59;CTSL;CTSD;CD46;CXCL1;OLR1;LGALS3;CD55;CTSC;CEBPB
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.24385981695834738,0.5767948866599821,0.9627659574468085,0.9665993987068078,1.0,9/12,63.11%,PLAUR;LGALS3;CXCL16;S100A11;ALCAM;GUSB;LPL;MVK;LDLR
