Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS,-0.6377823307063581,-1.8730146723353178,0.0,0.626728677088242,0.27,7/20,5.41%,LEP;IL10;IL1B;TIMP3;EIF4G1;HMOX1;USP8
prerank,GOBP_NUCLEOTIDE_METABOLIC_PROCESS,-0.571625320141854,-1.8349044221543185,0.0015220700152207,0.535898434031975,0.41,12/28,15.67%,IFNG;FABP1;SHMT1;SULT2A1;IL4;ATP5IF1;NADK;TYMP;AK1;DNPH1;FBP1;PKLR
prerank,GOBP_POSITIVE_REGULATION_OF_PROTEIN_TRANSPORT,-0.6482698461524237,-1.8215804920562428,0.004846526655896607,0.41781911805882793,0.458,7/16,14.84%,LEP;IL1B;IL1A;HCLS1;CD2AP;CNST;GHRL
prerank,GOBP_ENERGY_HOMEOSTASIS,-0.7512660955686581,-1.820904534069,0.0016366612111292963,0.3159594883457286,0.462,4/10,4.85%,LEP;FABP1;EIF4G1;FABP2
prerank,GOBP_NOTCH_SIGNALING_PATHWAY,0.5843591461949842,1.8137250446628796,0.010723860589812333,0.6438580433913862,0.578,6/18,9.02%,NOTCH3;CCN3;DLK1;CDH6;CNTN1;KIT
prerank,GOBP_CELL_CELL_ADHESION_MEDIATED_BY_INTEGRIN,0.6903557758126861,1.801699156719139,0.0048543689320388345,0.3569927681023036,0.609,6/10,14.56%,DPP4;ITGB1;ITGB2;ICAM4;ICAM3;ICAM5
prerank,GOBP_HOMOPHILIC_CELL_CELL_ADHESION,0.5427425139320092,1.8000873952113288,0.010958904109589041,0.2410632565454475,0.617,11/19,28.57%,CDH17;CDH6;ITGB1;ICAM5;ESAM;CLSTN2;CDH5;PLXNB3;CEACAM8;BSG;CD84
prerank,GOBP_REGULATION_OF_PROTEIN_METABOLIC_PROCESS,-0.4287034840823793,-1.773502115474969,0.0,0.4448086759955473,0.637,61/116,35.64%,PLAT;LEP;IFNG;SHMT1;IL10;IL1B;TIMP3;EIF4G1;IL4;ATP5IF1;USP8;CEP43;PDGFB;EIF4EBP1;EGF;RARRES2;IKBKG;YTHDF3;IRAK4;LDLR;CSF1;PTX3;IL18;BANK1;ANGPT1;AXIN1;PCSK9;SPRY2;SERPINE1;HSPB1;CHEK2;CASP3;IL4R;FADD;IL11;OSM;PPIB;SNX9;TRIM21;NCK2;ANG;LAT;CSTB;CCL5;PRKAR1A;HSPA1A;IRAK1;TREM2;CNDP1;LILRA5;PLAUR;LILRB2;IL6;STK4;NUB1;TRAF2;ITM2A;FOXO1;MAPK9;GZMB;TIA1
prerank,GOBP_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS,-0.7086378014790045,-1.7698934707312277,0.0016611295681063123,0.38710984540647103,0.652,4/11,3.47%,IFNG;IL10;IL1B;TIMP3
prerank,GOBP_FATTY_ACID_TRANSPORT,-0.665943236979446,-1.7677232823301054,0.0,0.3371841063660196,0.655,6/13,11.10%,LEP;FABP4;FABP1;IL1B;FABP2;PLA2G2A
prerank,GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,-0.7069745521176368,-1.7538049910949223,0.0,0.34693908910241966,0.701,5/10,13.73%,IFNG;IL10;IL1B;ACP5;PTX3
prerank,GOBP_DIGESTIVE_SYSTEM_PROCESS,-0.6625917610863015,-1.7505826448719195,0.004815409309791332,0.3190592506087599,0.711,7/13,20.94%,LEP;FABP1;FABP2;LDLR;GHRL;HSPB1;COMT
prerank,GOBP_ARTERY_MORPHOGENESIS,0.6672677928849254,1.7490048722745566,0.007712082262210797,0.27535998349941343,0.742,3/10,3.33%,NOTCH3;COMP;ANGPTL3
