Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOMF_CALCIUM_ION_BINDING,0.42081192535906925,1.8619464945620932,0.0,0.1188557229779236,0.079,20/75,12.48%,PNLIPRP2;EDIL3;NOTCH3;COMP;TPT1;CDH17;CLEC4A;DLK1;CDH6;AOC3;ENPP2;CRTAC1;THBS4;AMY2A;SMOC2;EFEMP1;AMY2B;LPL;ITGB1;SCGN
prerank,GOMF_KINASE_REGULATOR_ACTIVITY,-0.5918269047174767,-1.836041999453755,0.0015337423312883436,0.04865037158818299,0.054,17/25,32.59%,CEP43;EGF;HEXIM1;GHRL;AXIN1;IL2;SPRY2;HSPB1;CASP3;AGRN;CCL5;PRKAR1A;ERBB3;TREM2;STK4;NBN;EPO
prerank,GOMF_ORGANIC_ACID_BINDING,-0.5915624716733534,-1.7844143139885003,0.004531722054380665,0.0507473703635357,0.101,6/21,4.85%,FABP4;NRTN;FABP1;SHMT1;GSTA1;FABP2
prerank,GOMF_ENZYME_ACTIVATOR_ACTIVITY,-0.5033248381636919,-1.7532714450234665,0.0029069767441860465,0.04948917109832408,0.142,25/43,33.70%,FABP4;PDGFB;NCF2;EGF;ARHGEF12;DBNL;BCR;GHRL;RABGAP1L;JUN;AXIN1;IL2;SPRY2;CASP3;LGMN;CTSH;AGRN;CCL5;MYO9B;ERBB3;TREM2;STK4;NBN;EPO;RGS8
prerank,GOMF_CELL_ADHESION_MEDIATOR_ACTIVITY,0.5489886551072092,1.7294509250989654,0.008174386920980926,0.18546717211939726,0.217,14/20,29.68%,ITGA11;CNTN1;CD209;ITGB1;ITGB2;CD200;ESAM;CLSTN2;CDH5;PLXNB3;NRCAM;NFASC;BSG;CXADR
prerank,GOMF_ENZYME_REGULATOR_ACTIVITY,-0.4259375479780608,-1.6953695642258568,0.0,0.0715076582395276,0.256,45/88,32.59%,PTN;FABP4;TIMP3;ATP5IF1;PRDX3;CEP43;PDGFB;NCF2;EGF;ARHGEF12;DBNL;HEXIM1;EGLN1;CST6;BCR;GHRL;RABGAP1L;JUN;AXIN1;IL2;SPRY2;SERPINE1;PPP1R9B;HSPB1;DFFA;CASP3;LGMN;ANGPTL4;CTSH;PREB;TNFAIP8;LGALS3;AGRN;CSTB;CCL5;PRKAR1A;MYO9B;CRIM1;ERBB3;TREM2;PPP1R2;STK4;NBN;CST7;EPO
prerank,GOMF_MONOCARBOXYLIC_ACID_BINDING,-0.6991779567450385,-1.695312562632251,0.009983361064891847,0.05770940629770672,0.257,4/10,4.85%,FABP4;FABP1;GSTA1;FABP2
prerank,GOMF_MOLECULAR_TRANSDUCER_ACTIVITY,0.33739952168947074,1.6699804247399181,0.0,0.19722213373259853,0.307,38/139,19.28%,NOTCH3;FCRL2;ITGA11;SLAMF1;CLEC4A;ROR1;TNFRSF13C;TNFRSF13B;ADGRG2;LY75;FCRL1;KIT;EFEMP1;LRRN1;CLEC4D;CD209;NTRK2;IL5RA;ARNT;ITGB1;ITGB2;CD79B;TNFRSF4;CD93;TNFRSF10C;KLRB1;FCGR2A;TLR3;LEPR;LILRB5;CR2;FCRL6;FCGR3B;CD46;KLRD1;TNFRSF11B;AGER;IL2RB
prerank,GOMF_GROWTH_FACTOR_RECEPTOR_BINDING,-0.49856554669078523,-1.6696965467863345,0.005943536404160475,0.0630497631789383,0.317,12/35,12.34%,IL1RN;NRTN;ESM1;IL10;IL1B;IL4;IL5;IL1A;PDGFB;EGF;IRAK4;PSPN
prerank,GOMF_KINASE_BINDING,-0.4405858580427261,-1.6415935490612295,0.011510791366906475,0.07189710086923594,0.386,25/57,28.43%,PTN;NRTN;PRDX3;CEP43;HCLS1;IRAK4;CRKL;PTPN6;PSPN;BANK1;ANGPT1;GRK5;AXIN1;SPRY2;PPP1R9B;HSPB1;CHEK2;MAP2K6;NCK2;LAT;PRKAR1A;IRAK1;TFRC;SIT1;TREM2
prerank,GOMF_HYDROLASE_ACTIVITY_ACTING_ON_GLYCOSYL_BONDS,0.5968433536981617,1.6126786447197523,0.02806122448979592,0.2194259501130897,0.421,4/11,9.43%,CHIT1;CHI3L1;AMY2A;AMY2B
prerank,GOMF_KINASE_ACTIVATOR_ACTIVITY,-0.5662867179958757,-1.6093518471042492,0.0189873417721519,0.08377510107534097,0.473,12/18,32.59%,EGF;GHRL;AXIN1;IL2;SPRY2;AGRN;CCL5;ERBB3;TREM2;STK4;NBN;EPO
prerank,GOMF_INTEGRIN_BINDING,0.4189746949410336,1.564548402750309,0.015723270440251572,0.23745022458666495,0.524,14/36,14.56%,EDIL3;COMP;CDH17;FAP;ANGPTL3;CCN3;ITGB6;THBS4;ITGB1;ITGB2;ICAM4;ICAM3;SEMA7A;ICAM5
prerank,GOMF_VITAMIN_BINDING,-0.6301686053021194,-1.5507455081244033,0.03470031545741325,0.12898872467058478,0.651,5/11,17.48%,SHMT1;ADH4;AGXT;EGLN1;PLPBP
prerank,GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING,-0.5058401324433206,-1.5119009081517556,0.040983606557377046,0.15693938834739718,0.754,18/21,43.83%,IKBKG;GPR37;JUN;AXIN1;CHEK2;SNX9;PRKAR1A;HSPA1A;ERBB3;TRAF2;FOXO1;STX8;CEBPB;TANK;PARP1;CD40;BAG6;TNFRSF14
prerank,GOMF_CELL_CELL_ADHESION_MEDIATOR_ACTIVITY,0.5278990546058563,1.4942746185435747,0.055415617128463476,0.3064997398405063,0.668,10/13,29.68%,CNTN1;CD200;ESAM;CLSTN2;CDH5;PLXNB3;NRCAM;NFASC;BSG;CXADR
prerank,GOMF_ANTIGEN_BINDING,0.5507489432655517,1.4920351523280362,0.0775,0.2655128631045295,0.671,5/11,18.45%,GP2;SLAMF1;CD209;KLRD1;JCHAIN
prerank,GOMF_TRANSMEMBRANE_SIGNALING_RECEPTOR_ACTIVITY,0.31451206513021757,1.4857107247923043,0.008438818565400843,0.24065018635914753,0.679,42/108,30.24%,FCRL2;ITGA11;SLAMF1;CLEC4A;ROR1;ADGRG2;LY75;FCRL1;KIT;EFEMP1;NTRK2;IL5RA;ITGB2;CD79B;TNFRSF4;TNFRSF10C;KLRB1;FCGR2A;TLR3;LEPR;LILRB5;CR2;FCRL6;FCGR3B;KLRD1;AGER;IL2RB;OSMR;PLXNB3;IL20RA;ADGRE5;CD200R1;IL10RA;FCAR;IL6R;ENG;FCRL3;PDGFRB;NOTCH1;MET;FAS;MILR1
prerank,GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY,0.48220712141778643,1.4723112761351362,0.06467661691542288,0.23480898629826666,0.702,4/16,10.40%,ROR1;KIT;EFEMP1;NTRK2
prerank,GOMF_LYASE_ACTIVITY,-0.5721593545174648,-1.4515990583337328,0.06329113924050633,0.22289190619476312,0.891,3/12,9.02%,CA5A;SHMT1;GLO1
prerank,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT,0.3951037434712824,1.450540501472248,0.051490514905149054,0.2413685451243987,0.748,10/31,18.72%,EDIL3;COMP;COL9A1;CHI3L1;PRELP;EFEMP1;ACAN;COL1A1;DCN;IGFBP7
prerank,GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY,0.4672374592642692,1.4374223346095578,0.07142857142857142,0.23521796925001665,0.772,4/17,10.40%,ROR1;KIT;EFEMP1;NTRK2
prerank,GOMF_CYTOKINE_RECEPTOR_BINDING,-0.3574953979596137,-1.417047330483568,0.024324324324324326,0.25960844838866615,0.937,23/84,22.47%,IL1RN;IFNG;CCL17;IL10;IL1B;CCL7;IL4;IL5;IL1A;CCL18;CCL24;CCL28;CCL23;IRAK4;CSF1;IL18;IL2;CASP3;NTF3;FADD;IL11;OSM;CCL26
prerank,GOMF_CARBOXYLIC_ESTER_HYDROLASE_ACTIVITY,0.5177786077799932,1.384752658277006,0.10224438902743142,0.2839693967485373,0.858,4/11,13.18%,PNLIPRP2;ENPP2;LPL;PON3
prerank,GOMF_PROTEASE_BINDING,0.4175048406773895,1.3785341265007796,0.1,0.26986176831673947,0.863,11/22,19.69%,COMP;FAP;DPP4;CNTNAP2;CHL1;KIT;NTRK2;ITGB1;COL1A1;LCN2;TIMP1
prerank,GOMF_EXOGENOUS_PROTEIN_BINDING,0.3929083501501187,1.3700923708370776,0.0921409214092141,0.26374028952793566,0.874,11/29,20.94%,SLAMF1;DPP4;ITGB6;CD209;CLEC5A;ITGB1;TNFRSF4;NCAM1;CR2;CD46;CD55
prerank,GOMF_CHEMOKINE_RECEPTOR_BINDING,-0.4117441563732826,-1.367652174251522,0.08636363636363636,0.3297127305246884,0.973,6/32,10.68%,CCL17;CCL7;CCL18;CCL24;CCL28;CCL23
prerank,GOMF_CHEMOKINE_ACTIVITY,-0.4147059796749567,-1.363434155591974,0.09188361408882083,0.3148493875565291,0.978,6/31,10.68%,CCL17;CCL7;CCL18;CCL24;CCL28;CCL23
prerank,GOMF_PROTEIN_DOMAIN_SPECIFIC_BINDING,-0.38917573777935494,-1.3510351311891151,0.07728706624605679,0.31907933365766916,0.987,20/41,29.96%,HNRNPK;IL1B;USP8;ITGB1BP2;DBNL;HCLS1;IKBKG;CD2AP;PTPN6;GPR37;AXIN1;ICA1;FADD;VIM;PRKAR1A;HSPA1A;CRIM1;SIT1;PAG1;PLAUR
prerank,GOMF_G_PROTEIN_COUPLED_RECEPTOR_BINDING,-0.3781695805202685,-1.3280725401216664,0.08753709198813056,0.34233505007633075,0.994,17/44,33.15%,CCL17;CCL7;CCL18;CCL24;ARHGEF12;CCL28;GAL;CCL23;GHRL;IL2;PPP1R9B;CCL26;CCL5;HSPA1A;CCL16;AGRP;MLN
prerank,GOMF_HEPARIN_BINDING,0.34852492716767136,1.312848289768533,0.09698996655518395,0.3260042687394476,0.936,10/37,11.65%,COMP;CCDC80;ANGPTL3;CCN3;MSTN;THBS4;SMOC2;PRELP;LPL;PTPRS
prerank,GOMF_GROWTH_FACTOR_ACTIVITY,-0.3655843374874816,-1.3009901190569055,0.10495626822157435,0.37410458152292436,0.996,12/48,12.48%,PTN;NRTN;PROK1;IL10;IL4;IL5;PDGFB;EGF;MANF;TYMP;PSPN;CSF1
prerank,GOMF_MOLECULAR_FUNCTION_ACTIVATOR_ACTIVITY,-0.2979459410946321,-1.2940876580240679,0.05339805825242718,0.36744078541458136,0.998,47/181,22.88%,PTN;IL1RN;LEP;IFNG;FABP4;NRTN;CCL17;PROK1;IL10;IL1B;CCL7;IL4;IL5;IL1A;PDGFB;NCF2;EGF;MANF;TYMP;CCL18;CCL24;LGALS9;ARHGEF12;DBNL;CCL28;GAL;CCL23;PSPN;CSF1;DNAJA2;IL18;BCR;GHRL;ANGPT1;RABGAP1L;JUN;AXIN1;IL2;SPRY2;CASP3;NTF3;LGMN;IL11;OSM;CCL26;ACE2;CTSH
prerank,GOMF_PATTERN_RECOGNITION_RECEPTOR_ACTIVITY,0.47725388882797626,1.2938594619777941,0.14622641509433962,0.3345266159090185,0.95,4/11,16.50%,CLEC4A;CLEC4D;CD209;TLR3
prerank,GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,-0.44486672712927416,-1.2806552862935592,0.14606741573033707,0.3724711298452812,0.998,4/18,10.68%,CCL7;CCL18;CCL24;CCL23
prerank,GOMF_MOLECULAR_FUNCTION_INHIBITOR_ACTIVITY,-0.34287116275171264,-1.2717691734518681,0.12607449856733524,0.3700364038987401,0.998,32/56,37.17%,PTN;IL1RN;TIMP3;ATP5IF1;CEP43;HEXIM1;EGLN1;CST6;PCSK9;SPRY2;SERPINE1;PPP1R9B;HSPB1;DFFA;CASP3;ANGPTL4;LGALS3;CSTB;CCL5;PRKAR1A;HSPA1A;GBP2;CRIM1;SOST;PPP1R2;AGRP;CST7;STX8;ANXA4;COL6A3;FETUB;ITIH3
prerank,GOMF_CYTOKINE_ACTIVITY,-0.3198518817243562,-1.256504014665797,0.11914323962516733,0.38173366278182663,0.999,14/85,12.48%,IL1RN;IFNG;CCL17;IL10;IL1B;CCL7;IL4;IL5;IL1A;CCL18;CCL24;CCL28;CCL23;CSF1
prerank,GOMF_SIGNALING_RECEPTOR_REGULATOR_ACTIVITY,-0.2944663147930796,-1.2551034032266466,0.09328358208955224,0.36724167643995187,0.999,25/151,12.48%,PTN;IL1RN;LEP;IFNG;NRTN;CCL17;PROK1;IL10;IL1B;CCL7;IL4;IL5;IL1A;PDGFB;EGF;MANF;TYMP;CCL18;CCL24;LGALS9;CCL28;GAL;CCL23;PSPN;CSF1
