Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,-0.6679047480979344,-1.8548169487920243,0.003355704697986577,0.033611950915881206,0.026,11/17,25.10%,IFNG;IL10;IL4;IL5;IKBKG;PTPN6;JUN;IL2;GRAP2;NCK2;LAT
prerank,KEGG_LEISHMANIA_INFECTION,-0.598585625807056,-1.7346592229974103,0.00933125972006221,0.08278499021874446,0.113,8/19,11.93%,IFNG;IL10;IL1B;IL4;IL1A;NCF2;IRAK4;PTPN6
prerank,KEGG_ALLOGRAFT_REJECTION,-0.6369444511310952,-1.6869070600723743,0.008169934640522876,0.0879720196810718,0.17,4/13,4.44%,IFNG;IL10;IL4;IL5
prerank,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.6082623345205036,1.5879606684464138,0.04207920792079208,0.2647320106603494,0.321,4/10,11.51%,ITGA11;TNNI3;ITGB6;ITGB1
prerank,KEGG_INSULIN_SIGNALING_PATHWAY,-0.6233250206108405,-1.5588898162300497,0.027914614121510674,0.1854881735728259,0.393,10/11,35.23%,GYS1;EIF4EBP1;CRKL;FBP1;PKLR;PRKAR1A;PTPRF;HK2;FOXO1;MAPK9
prerank,KEGG_CHEMOKINE_SIGNALING_PATHWAY,-0.4469389189724758,-1.4990092113238584,0.04281345565749235,0.24673661746398717,0.541,8/34,11.65%,CCL17;CCL7;CCL18;CCL24;CCL28;IKBKG;CCL23;CRKL
prerank,KEGG_TYPE_I_DIABETES_MELLITUS,-0.5562895180002634,-1.4497975539589636,0.07830342577487764,0.2881913569269074,0.661,5/12,19.97%,IFNG;IL1B;IL1A;IL2;ICA1
prerank,KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,-0.5918467642159597,-1.4462645385627415,0.08094435075885328,0.25306775742486215,0.67,7/10,35.23%,IL4;IL5;PLA2G2A;MAP2K6;LAT;PLA2G4A;MAPK9
prerank,KEGG_PPAR_SIGNALING_PATHWAY,-0.5674125196244584,-1.3786995810437221,0.10902896081771721,0.32771652142984176,0.823,3/10,4.85%,FABP4;FABP1;FABP2
prerank,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,-0.5256038330986518,-1.3549647857298688,0.10286677908937605,0.3310016400893157,0.856,4/12,14.56%,IL1B;CCL7;IKBKG;IL18
prerank,KEGG_APOPTOSIS,-0.4873010493012031,-1.347736490383542,0.13442622950819672,0.3104748354970656,0.868,9/16,27.46%,IL1B;IL1A;IKBKG;IRAK4;DFFA;CASP3;FADD;PRKAR1A;IRAK1
prerank,KEGG_GRAFT_VERSUS_HOST_DISEASE,-0.5194178250339856,-1.324469976967584,0.13673805601317957,0.3215203789630252,0.893,3/12,4.99%,IFNG;IL1B;IL1A
prerank,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,-0.4204005640456408,-1.2696124451913873,0.1617873651771957,0.38819728496057865,0.942,12/22,35.23%,LBP;IL1B;IKBKG;IRAK4;JUN;MAP2K6;FADD;CCL5;IRAK1;IL6;CD14;MAPK9
prerank,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,-0.5106708847022223,-1.268634976687987,0.18617021276595744,0.35986812405094465,0.943,2/11,3.19%,IFNG;IL10
prerank,KEGG_ENDOCYTOSIS,-0.45701941479032115,-1.2636323378197116,0.16749585406301823,0.341988262493331,0.947,8/16,28.29%,USP8;EGF;LDLR;CLTA;GRK5;HSPA1A;TFRC;ERBB3
prerank,KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,-0.5054951795296897,-1.2286100084026412,0.21724709784411278,0.37545794060110266,0.962,5/10,17.89%,IKBKG;PTPN6;PIK3AP1;DAPP1;JUN
prerank,KEGG_ECM_RECEPTOR_INTERACTION,0.3741927230868986,1.22185715782575,0.19667590027700832,0.8116671602013622,0.856,6/19,14.98%,COMP;ITGA11;ITGB6;THBS4;ITGB1;COL1A1
