Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,0.6099550952060214,1.651442797312385,0.00303951367781155,0.22262080327367903,0.181,16/26,28.85%,IL6;IGFBP1;IGFBP2;SPP1;FSTL3;CST3;TIMP1;CKAP4;LGALS1;GZMH;IGFBP6;MMP1;TNC;IGFBP7;CDH2;CHRDL1
prerank,REACTOME_METABOLISM_OF_NUCLEOTIDES,-0.46056338028169014,-1.648929543242236,0.0,0.14787034556656845,0.0580168776371308,11/11,54.79%,GMPR;NT5C3A;NME3;DNPH1;ENTPD5;ADA;GLRX;AK1;ENTPD6;DCTPP1;TYMP
prerank,REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,0.5417833383218494,1.437626999711131,0.02968270214943705,1.0,0.857,16/23,34.81%,CXCL9;CCL27;CXCL10;CCL3;CCL7;CXCL8;CCL20;CCL13;CCL4;CCL16;CXCL5;CCL25;CCL11;CCL28;CCL17;CXCL1
prerank,REACTOME_DISEASES_OF_GLYCOSYLATION,0.5642566774331027,1.4284018602578845,0.0337909186906019,0.8769624580936312,0.875,8/17,18.72%,DCN;ADAMTS16;SPON2;HSPG2;SPON1;NOTCH3;PRELP;AGRN
prerank,REACTOME_COLLAGEN_DEGRADATION,0.5994468036275868,1.4207087219138017,0.04896626768226333,0.7041797866262771,0.887,10/12,35.78%,COL6A3;CTSB;COL9A1;MMP1;MMP7;PRSS2;CTSL;CTSD;MMP10;COL18A1
prerank,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,0.5557772106165648,1.4051047336686076,0.057672502574665295,0.6439023742144631,0.911,11/17,28.29%,TNFRSF11A;TNFRSF4;TNFRSF11B;TNFRSF14;TNF;TNFSF13;CD40;LTBR;CD70;TNFRSF13B;EDAR
prerank,REACTOME_INTERLEUKIN_10_SIGNALING,0.5191752002803701,1.373025400449428,0.05761316872427984,0.7087391109871082,0.959,12/23,28.02%,IL6;CXCL10;CCL3;CXCL8;CCL20;TIMP1;TNF;CCL4;IL12B;IL1B;IL10RB;IL1RN
prerank,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,0.4895623381720265,1.356000686967153,0.051829268292682924,0.6985873148733367,0.975,11/31,11.65%,CXCL9;MLN;CCL27;CXCL10;CCL3;CCL7;CXCL8;CCL20;F2R;GPR37;CCL13
prerank,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.5027649531304035,1.3553816663879672,0.07215447154471545,0.6149192209069047,0.977,17/24,38.14%,COL6A3;SPP1;CTSB;DCN;ADAMTS16;COL9A1;TIMP1;HSPG2;MMP1;MMP7;PRSS2;CTSL;CTSD;MMP10;COL18A1;CDH1;ACAN
prerank,REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2,0.529693591720876,1.345652890162485,0.0841995841995842,0.5901966776055022,0.981,8/19,20.94%,ACTN4;TIMP1;VEGFA;FAM3C;RARRES2;ITIH3;VWF;TGFB1
