Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.6215486704505171,1.7181212060111857,0.0010256410256410256,0.07420494699646643,0.062,19/22,34.67%,IL6;CXCL9;CXCL10;CCL3;IL1B;CXCL8;SPP1;TNF;LBP;IKBKG;CD40;IL12B;JUN;CCL4;IRAK1;FADD;MAPK9;CD14;IRAK4
prerank,KEGG_PURINE_METABOLISM,-0.48523206751054854,-1.5663149604517097,0.0425531914893617,0.1041548093340922,0.07373868046571798,10/10,52.29%,NME3;ADA;NT5C3A;ENTPD5;PNPT1;GMPR;ENTPD6;CANT1;PKLR;AK1
prerank,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.6180944545314485,1.5251910602521082,0.021321961620469083,0.28091872791519434,0.394,7/12,16.92%,IL6;CCL7;IL1B;CXCL8;TNF;CCL13;IKBKG
prerank,KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.5056136417436817,1.4733637348056667,0.013091641490433032,0.302601991647928,0.546,16/34,21.50%,CXCL9;CCL7;CCL27;CXCL10;CCL3;CCL18;CXCL8;CCL17;CCL20;CCL13;CCL28;CCL16;IKBKG;CCL15;CCL14;CCL23
prerank,KEGG_PPAR_SIGNALING_PATHWAY,0.602281450589971,1.419194586156464,0.05555555555555555,0.38234821715387085,0.724,6/10,27.74%,FABP1;FABP4;ANGPTL4;FABP6;FABP2;MMP1
prerank,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.4308709755302554,1.3793104885249474,0.003,0.4267266302601991,0.827,40/109,24.41%,IL6;CXCL9;IFNG;CCL7;GH1;CCL27;TNFRSF11A;IL17A;CXCL10;CCL3;IL11;IL4R;CCL18;IL1B;CXCL8;TNF;CCL17;TNFRSF14;EPO;TNFSF13;CCL20;IL10;IL19;CCL13;IL12RB1;CCL28;CCL16;VEGFA;CCL15;TNFRSF4;TNFRSF11B;CD70;CD40;IL2RA;CCL14;IL2;CCL23;CSF1;LTBR;IL12B
prerank,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.5732978634240781,1.3783356345886544,0.08196721311475409,0.35865724381625436,0.831,5/11,19.28%,IFNG;ACTN4;TNF;IL10;CD40
prerank,KEGG_ECM_RECEPTOR_INTERACTION,0.4996391730860417,1.3522992500728455,0.07407407407407407,0.3729521362030196,0.872,6/19,16.37%,COL6A3;SDC1;SPP1;VWF;AGRN;HSPG2
prerank,KEGG_GRAFT_VERSUS_HOST_DISEASE,0.5395887268326428,1.3128795257200592,0.12275132275132275,0.42499196916158044,0.933,4/12,8.32%,IL6;IFNG;IL1B;TNF
prerank,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.48126287524147454,1.2871313834152571,0.12849740932642487,0.4456579933611736,0.958,10/19,31.21%,IL6;CCL27;TNFSF13;IL10;CCL28;CD40;IL2;LTBR;IL15RA;TGFB1
