Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,0.5791199831404261,1.594756968609393,0.00815494393476045,0.5281360061435797,0.356,11/23,15.95%,CXCL9;CCL7;CCL27;CXCL10;CCL3;CXCL8;CCL17;CCL20;CCL13;CCL28;CCL16
prerank,REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS,0.553086400310538,1.5903670165466215,0.00404040404040404,0.2736011439769086,0.366,14/32,15.95%,MLN;CXCL9;CCL7;CCL27;CXCL10;CCL3;GPR37;CXCL8;CCL17;CCL20;F2R;CCL13;CCL28;CCL16
prerank,REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS,0.5539687496175152,1.587263715865132,0.006060606060606061,0.18843841855784765,0.373,14/31,15.95%,MLN;CXCL9;CCL7;CCL27;CXCL10;CCL3;GPR37;CXCL8;CCL17;CCL20;F2R;CCL13;CCL28;CCL16
prerank,REACTOME_GPCR_LIGAND_BINDING,0.5265539292572129,1.5524935277502703,0.004028197381671702,0.21068241400312476,0.489,15/39,15.95%,MLN;CXCL9;CCL7;CCL27;CXCL10;CCL3;GPR37;CXCL8;CCL17;WNT9A;CCL20;F2R;CCL13;CCL28;CCL16
prerank,REACTOME_SARS_COV_2_INFECTION,0.5813254295528903,1.5243893757467,0.016771488469601678,0.22174085745306252,0.594,10/16,28.99%,IL17A;SDC1;ACE2;AGRN;HSPG2;IKBKG;CTSL;IL17F;IRAK1;ST6GAL1
prerank,REACTOME_INTERLEUKIN_10_SIGNALING,0.5542794053682518,1.5203725894135756,0.009230769230769232,0.19384053173741492,0.611,13/23,25.52%,IL6;CXCL10;CCL3;IL1RN;IL1B;CXCL8;TNF;CCL20;IL10;TIMP1;CSF1;IL12B;CCL4
prerank,REACTOME_SIGNALING_BY_GPCR,0.48227391493978994,1.4617540594345988,0.007035175879396985,0.2893989203339626,0.797,20/48,25.52%,MLN;CXCL9;CCL7;CCL27;CXCL10;CCL3;GPR37;CXCL8;CCL17;WNT9A;CCL20;F2R;CCL13;CCL28;CCL16;ARHGEF12;CCL23;PRKAR1A;GHRL;CCL4
prerank,REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,0.516536094346697,1.4578371229609524,0.02032520325203252,0.26263803193602203,0.808,15/26,30.79%,IL6;IGFBP1;IGFBP2;SPP1;FSTL3;CKAP4;CST3;GZMH;TIMP1;LGALS1;CSF1;IGFBP6;TNC;MMP1;CDH2
prerank,REACTOME_DISEASES_OF_GLYCOSYLATION,0.5405338672156189,1.4158875178864059,0.04643962848297214,0.34139236819108654,0.912,7/17,18.31%,SDC1;SPON2;DCN;AGRN;HSPG2;ADAMTS16;SPON1
prerank,REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY,0.5230066050461084,1.3860758540598597,0.05202913631633715,0.3921934168365861,0.956,9/17,24.27%,TNFRSF11A;TNF;TNFRSF14;TNFSF13;TNFRSF4;TNFRSF11B;CD70;CD40;LTBR
prerank,REACTOME_G_ALPHA_I_SIGNALLING_EVENTS,0.48342579246987327,1.3471816333852988,0.0673469387755102,0.48497687731858746,0.988,12/25,25.52%,CXCL9;CCL27;CXCL10;GPR37;CXCL8;CCL20;CCL13;CCL28;CCL16;CCL23;PRKAR1A;CCL4
prerank,REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM,0.3988329549842898,1.2793043380637887,0.022,0.7258692370839182,0.998,55/120,34.67%,IL6;IFNG;GH1;TNFRSF11A;IL17A;CXCL10;CCL3;EIF4G1;IL11;IL1RN;IL4R;LGALS9;IL1B;SDC1;CXCL8;TNF;TNFRSF14;IL17C;TNFSF13;CCL20;IL10;IL19;LBP;IL12RB1;TIMP1;VEGFA;IKBKG;TNFRSF4;TNFRSF11B;IL18BP;CD70;CD40;LCN2;IL2RA;GBP2;IL16;IL2;CD4;CSF1;IL17F;LTBR;IL12B;JUN;CCL4;GRAP2;MMP1;IRAK1;IL15RA;IL1RL1;TGFB1;MAPK9;TRIM5;CRKL;IL10RB;IRAK4
prerank,REACTOME_SARS_COV_INFECTIONS,0.4460426055856111,1.255881869056646,0.13880445795339413,0.780544244569878,0.999,12/26,28.99%,IL17A;SDC1;ACE2;AGRN;HSPG2;VEGFA;IKBKG;CD79B;CTSL;IL17F;IRAK1;ST6GAL1
prerank,REACTOME_COLLAGEN_DEGRADATION,0.516010950742496,1.2554083081236622,0.15334773218142547,0.727242463333346,0.999,10/12,45.08%,COL6A3;CTSL;COL9A1;PRSS2;MMP1;CTSD;MMP7;COL18A1;MMP10;CTSB
prerank,REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.4377245027718647,1.216292916899944,0.17707267144319344,0.8629399147313507,1.0,17/24,45.08%,COL6A3;SPP1;DCN;TIMP1;HSPG2;ADAMTS16;CTSL;COL9A1;PRSS2;MMP1;CTSD;MMP7;COL18A1;NID1;CASP3;MMP10;CTSB
prerank,REACTOME_GLYCOSAMINOGLYCAN_METABOLISM,0.4930409623695654,1.2140418136324014,0.21199143468950749,0.820267192754813,1.0,5/12,19.42%,SDC1;DCN;AGRN;HSPG2;CTSL
