Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,GOMF_TRANSLATION_FACTOR_ACTIVITY,-0.6582201871319227,-2.1984895767869084,0.0,0.05731156651615144,0.011,9/14,27.00%,MCTS1;GTPBP2;DENR;EIF4E;EIF5;EIF4G3;EIF4B;MTIF3;MRPL58
prerank,GOMF_NUCLEIC_ACID_CONFORMATION_ISOMERASE_ACTIVITY,-0.6492730629405938,-2.0177323132119453,0.0,0.10420284821118443,0.038,8/14,15.57%,TOP1;DDX1;SMARCA2;IGHMBP2;DDX25;RUVBL1;TTF2;DDX4
prerank,GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING,-0.5443745685313048,-1.9901410433399727,0.0,0.07988885029524138,0.043,10/21,14.90%,GGA1;HGS;SIRT2;TAB2;STAM;AMFR;DCUN1D1;DDI2;RAD23B;RNF31
prerank,GOMF_TRANSLATION_INITIATION_FACTOR_ACTIVITY,-0.6652835686193653,-1.9797151685224157,0.01020408163265306,0.06512678013199028,0.046,7/10,26.52%,MCTS1;DENR;EIF4E;EIF5;EIF4G3;EIF4B;MTIF3
prerank,GOMF_UBIQUITIN_BINDING,-0.549493607286335,-1.9153333984948926,0.0,0.06981590830149358,0.06,9/19,14.90%,GGA1;HGS;SIRT2;TAB2;STAM;AMFR;DDI2;RAD23B;RNF31
prerank,GOMF_SINGLE_STRANDED_RNA_BINDING,-0.6374556761863874,-1.872252503961034,0.010752688172043012,0.07902049322681487,0.082,3/11,8.48%,PNPT1;DDX1;IGHMBP2
prerank,GOMF_DEATH_RECEPTOR_ACTIVITY,0.8628248712067303,1.6983097294282363,0.0,0.013609299688120215,0.015,10/11,12.73%,EDA2R;TNFRSF10B;FAS;TNFRSF19;TNFRSF10A;TNFRSF1A;TNFRSF1B;TNFRSF11A;TNFRSF4;TNFRSF14
prerank,GOMF_PROTEIN_SERINE_KINASE_ACTIVITY,-0.31938237719218804,-1.6659750759915997,0.0,0.17714484195901353,0.196,25/40,28.44%,PRKD2;CSNK1D;CSNK2A1;ERN1;CDKL5;PRKCQ;MAP2K6;EIF2AK3;MAPKAPK2;MAP4K5;ARAF;BRSK2;EIF2AK2;NEK7;STK4;STK24;AKT2;MINK1;PAK4;PKN3;MAP3K5;STK11;IRAK1;AKT3;PBK
prerank,GOMF_HSP90_PROTEIN_BINDING,-0.5434949731776294,-1.646279349540002,0.02531645569620253,0.17128343174713442,0.217,8/12,18.48%,KDR;AHSA1;CSNK2A1;ERN1;TSC1;EIF2AK3;STIP1;CDC37
prerank,GOMF_G_PROTEIN_ACTIVITY,-0.4933130237165383,-1.5877197562548058,0.047619047619047616,0.20493226814866272,0.27,12/17,25.30%,GNAS;RAB37;HRAS;RAP1A;RRAS;RAB33A;RAB27B;RAC3;RAB39B;RAB6B;RAB2B;CRACR2A
prerank,GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE,0.7811500347536554,1.5394665556889688,0.008658008658008658,0.2594272753047916,0.427,7/11,12.62%,DCN;PRELP;OGN;ACAN;HSPG2;VCAN;ASPN
