Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6452235588452898,1.487130695765794,0.0,0.07072013799051315,0.078,30/56,22.13%,CXCL9;TNFRSF12A;FAS;CXCL10;ACVRL1;TNFRSF1A;TNFRSF1B;CCL7;IL6;REG1A;TNF;OSMR;IL15RA;TNFRSF21;LTBR;IFNGR1;IL10RB;IL4R;IL6ST;PLA2G2A;LEPR;CSF1;IL12RB1;IL2RA;TGFB1;CD38;CD14;HMOX1;CXCL11;IL17RB
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.3641543752521473,-1.4366781527074184,0.0,0.35000000000000003,0.06623931623931624,6/25,11.36%,FASLG;EGFR;HRAS;PLCB1;HSP90B1;GNGT1
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.578973122205555,1.3677658641469514,0.0,0.2690815006468305,0.45,50/106,24.12%,ELN;ACTA2;TNFRSF11B;DCN;IGFBP4;TNFRSF12A;FAS;CDH2;FSTL3;SFRP1;CTHRC1;PCOLCE;ITGAV;COMP;SPP1;CD59;PLAUR;LRP1;EDIL3;IL6;IGFBP2;CCN1;COL6A3;LGALS1;FBLN2;ITGB5;ITGB1;IL32;TIMP1;VCAN;VCAM1;CXCL8;ITGA5;TFPI2;CAPG;SCG2;CDH6;SPOCK1;VEGFA;TGFBR3;NOTCH2;TGFB1;THY1;PRSS2;FAP;QSOX1;MFAP5;MMP1;MATN2;ADAM12
prerank,HALLMARK_HEDGEHOG_SIGNALING,0.6288048446330884,1.2957286978275462,0.10911016949152542,0.4959034066407935,0.814,7/14,21.17%,ADGRG1;NRP2;L1CAM;SCG2;VEGFA;THY1;NRP1
prerank,HALLMARK_IL2_STAT5_SIGNALING,0.5496195042873468,1.2816099653028001,0.015,0.45040965933592064,0.871,29/77,21.17%,CDCP1;NCS1;FLT3LG;CXCL10;TNFRSF9;ITGAV;SPP1;IGF1R;TNFRSF1B;PENK;AHNAK;CKAP4;TNFRSF4;ALCAM;COCH;TNFRSF21;CAPG;IFNGR1;IGF2R;FURIN;IL4R;BCL2;CD79B;CTSZ;CD83;TNFRSF8;CSF1;IL2RA;NRP1
prerank,HALLMARK_TGF_BETA_SIGNALING,0.621191440336599,1.2788095857390076,0.11075612353567625,0.3756791720569211,0.88,5/14,20.62%,LTBP2;LEFTY2;CDH1;FURIN;TGFB1
prerank,HALLMARK_INFLAMMATORY_RESPONSE,0.528423353917608,1.241714302930947,0.017,0.4848354175650424,0.961,48/88,33.49%,CXCL9;MSR1;ADM;F3;CXCL10;DCBLD2;TNFRSF9;LAMP3;PLAUR;EDN1;TNFRSF1B;CCL7;IL6;TIMP1;MARCO;CLEC5A;OSMR;CXCL8;CD70;IL15RA;ITGA5;CD55;PCDH7;IL4R;ICAM1;CX3CL1;MEP1A;CSF1;CCL20;CCL2;CD14;CXCL11;CCL17;LDLR;CD40;IL1R1;CCL24;CD48;ICAM4;IL12B;IL18R1;CCL22;BST2;TLR3;TLR1;AXL;ADGRE1;SLAMF1
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5227534908680693,1.2238815963207954,0.059,0.506006283496581,0.979,30/69,30.62%,F3;CXCL10;TNFRSF9;CD80;PLAUR;EDN1;IL6;CCN1;TNF;IL15RA;PLAU;IL6ST;EFNA1;ICAM1;CCL4;CD83;CSF1;VEGFA;CCL20;B4GALT1;CCL2;NINJ1;CXCL11;LDLR;KLF4;KYNU;TNFAIP2;IL12B;SERPINB8;TNC
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.5529754960050571,1.1919997063790382,0.17520491803278687,0.6292583009918068,0.998,8/22,19.73%,TNFRSF12A;PLAUR;LGALS3;ALCAM;CXCL16;ABCA2;ANXA5;S100A11
prerank,HALLMARK_UV_RESPONSE_DN,0.5289167712419892,1.188181429571342,0.1398390342052314,0.5821474773609314,0.998,17/38,29.62%,EFEMP1;F3;TGFBR2;IGF1R;CCN1;GCNT1;TFPI;DDAH1;TGFBR3;NOTCH2;PTPRM;NRP1;ATRN;LDLR;ANXA2;PDGFRB;ERBB2
prerank,HALLMARK_APICAL_SURFACE,0.5533823074612191,1.1764372956786566,0.22698744769874477,0.5916343251401466,1.0,8/17,24.01%,SRPX;DCBLD2;PLAUR;PCSK9;CX3CL1;B4GALT1;THY1;EPHB4
prerank,HALLMARK_APICAL_JUNCTION,0.4980600625178839,1.1700933132022002,0.1041041041041041,0.5696812889568387,1.0,32/75,28.55%,TNFRSF11B;PKD1;LAYN;NFASC;CD276;CDH15;ITGB1;VCAN;CD99;VCAM1;PCDH1;CDH1;MDK;NECTIN2;ACTN2;ADAM9;ICAM1;COL9A1;CDH6;VWF;CX3CL1;B4GALT1;THY1;CNTN1;ADAM15;ITGA2;ADAM23;PTPRC;CD274;ICAM4;NECTIN4;SIRPA
prerank,HALLMARK_ANGIOGENESIS,0.5293171341979175,1.1624180112177986,0.22131979695431472,0.5608020698576973,1.0,17/25,36.11%,ITGAV;SPP1;TIMP1;VCAN;THBD;TNFRSF21;STC1;VEGFA;NRP1;LRPAP1;APOH;PRG2;FSTL1;POSTN;LPL;SERPINA5;CCND2
prerank,HALLMARK_MYOGENESIS,0.4922061911688629,1.1371367377702275,0.169,0.6459017481009719,1.0,17/62,14.61%,FABP3;IGFBP7;SOD3;MYL3;PLXNB2;CKB;MB;COL6A3;AGRN;ITGB5;ITGB1;NOS1;CFD;FST;SORBS1;CSRP3;ACTN2
prerank,HALLMARK_ALLOGRAFT_REJECTION,0.4832582822136454,1.1341234816102943,0.132,0.6155362533111564,1.0,48/102,31.69%,CXCL9;FAS;B2M;CD74;CCL11;CD80;KLRD1;HLA-E;CCL7;IL6;TIMP1;TNF;GCNT1;INHBB;CD4;CAPG;IFNGR1;BCAT1;IL4R;CCL13;ICAM1;CRTAM;CCL4;IL16;HLA-DRA;ITGB2;CTSS;CSF1;IL12RB1;IL2RA;TGFB1;THY1;CCL2;ITGAL;CCL19;IFNG;CD28;CD40;NCR1;C2;GZMA;PTPRC;IL12B;HLA-A;CCL22;TLR3;CXCL13;TLR1
prerank,HALLMARK_ANDROGEN_RESPONSE,0.5141897360479609,1.122494780429239,0.2777777777777778,0.635158832830243,1.0,13/23,36.04%,B2M;ITGAV;MERTK;KRT19;ADAMTS1;B4GALT1;GSR;SELENOP;LIFR;KLK3;HSD17B14;AKAP12;KRT8
prerank,HALLMARK_APOPTOSIS,0.4647131567677546,1.0805684729677956,0.2928786359077232,0.8220677015955153,1.0,22/70,23.76%,DCN;TNFRSF12A;FAS;PLAT;LGALS3;IL6;TIMP1;TNF;IGFBP6;IFNGR1;IGF2R;HGF;TIMP2;ANXA1;TGFBR3;CD38;CD14;HMOX1;GSR;BCL2L11;KRT18;PPP3R1
prerank,HALLMARK_KRAS_SIGNALING_UP,0.4628498915649803,1.0771453868359535,0.284,0.7930903279811279,1.0,37/78,36.11%,SPON1;ITGBL1;CXCL10;DCBLD2;PLAT;SPP1;PLAUR;TNFRSF1B;ANXA10;TSPAN1;TFPI;ST6GAL1;PLAU;GPNMB;ANGPTL4;ITGB2;CTSS;CCL20;IL1RL2;LY96;PDCD1LG2;NRP1;SPARCL1;KLF4;CFH;ITGA2;PIGR;SERPINA3;SOX9;ACE;AKAP12;CFB;CPE;CFHR2;ADAM8;FLT4;CCND2
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.45450999730356817,1.0685036510479724,0.302,0.7942120645872263,1.0,31/79,33.68%,CXCL9;FAS;IFI30;CXCL10;B2M;CD74;IL18BP;CCL7;IL6;IDO1;VCAM1;IL15RA;IL4R;ICAM1;SERPING1;CD38;CCL2;CXCL11;CD40;CFH;XCL1;GZMA;CD274;OGFR;TNFAIP2;HLA-A;BST2;UBE2L6;C1S;CASP8;CFB
