Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,REACTOME_RHOQ_GTPASE_CYCLE,-0.6565932158153978,-2.0295182693630345,0.0,0.2558032282859339,0.042,10/12,28.55%,ARHGAP1;WWP2;WASL;ARL13B;SNAP23;OPHN1;PAK4;GOPC;GIT1;TFRC
prerank,REACTOME_PROTEIN_FOLDING,-0.6850690166069113,-1.967069674947356,0.02127659574468085,0.19185242121445042,0.062,9/11,29.51%,CSNK2A1;PFDN4;NOP56;GNGT1;PFDN6;CCT5;TP53;TBCC;TBCB
prerank,REACTOME_RHOJ_GTPASE_CYCLE,-0.6612866658248264,-1.9129383616788291,0.025,0.1770945426594927,0.082,10/12,28.55%,ARHGAP1;WWP2;WASL;WAS;ARL13B;SNAP23;OPHN1;PAK4;GIT1;TFRC
prerank,REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,-0.603850425768234,-1.7635512159173603,0.03,0.3099154496541122,0.187,10/10,39.87%,GALNT2;RAB3GAP1;DCTN6;RAB6B;PLA2G4A;DCTN2;DYNC1H1;PAFAH1B3;DCTN1;RAB6A
prerank,REACTOME_REGULATION_OF_TP53_ACTIVITY,-0.5096439169139466,-1.7272647804929442,0.0,0.3010607225211376,0.217,15/15,49.35%,CSNK2A1;BRD1;MAP2K6;RICTOR;AKT2;TP53;STK11;AKT3;PRKAG3;TP53INP1;RPA2;CDK1;RFC4;PRKAB1;NBN
prerank,REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS,-0.6263811532943087,-1.6861908557711782,0.01098901098901099,0.3115552139379964,0.255,7/10,28.33%,RAB3GAP1;RAB27B;RAB39B;AKT2;RAB6B;CHM;AKT3
prerank,REACTOME_RAB_GERANYLGERANYLATION,-0.5657639145016573,-1.6208525247637884,0.0594059405940594,0.3780827934555836,0.337,7/10,24.64%,RAB37;RAB33A;RAB27B;RAB39B;RAB6B;RAB2B;CHM
prerank,REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION,-0.4783092324805339,-1.6069134916552335,0.03508771929824561,0.3523443504996157,0.358,14/14,52.45%,CSNK1D;SDCCAG8;OFD1;CETN2;CEP43;DCTN2;DYNC1H1;CEP164;PPP1R12A;CDK1;PPP1R12B;CEP152;DCTN1;SSNA1
prerank,REACTOME_ION_CHANNEL_TRANSPORT,-0.5458381211685245,-1.601682744738766,0.0297029702970297,0.3224869758305577,0.366,6/10,23.87%,NEDD4L;UNC79;ATP1B1;ATP2B4;ATP1B2;ATP1B3
prerank,REACTOME_TRANSLATION,-0.3758389261744966,-1.587594893261699,0.0,0.31434281322059954,0.39,29/29,62.86%,RPS10;PSMA1;TARS1;PSMC3;EIF4E;EIF5;MRPS16;MRPL46;EIF4B;MTIF3;MRPL58;HARS1;EIF1AX;DARS1;FARSA;EIF4G1;MARS1;EEF1D;UFD1;EIF2S2;YARS1;GADD45GIP1;EIF4EBP1;ELOB;RPL14;MRPL24;NARS1;PSMD1;SRP14
prerank,REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,-0.47813194959229055,-1.585747329268261,0.05,0.28934386136538326,0.393,13/13,52.45%,CSNK1D;SDCCAG8;OFD1;CETN2;CEP43;DCTN2;TCTN3;DYNC1H1;CEP164;CDK1;CEP152;DCTN1;SSNA1
prerank,REACTOME_MITOTIC_G2_G2_M_PHASES,-0.4197990323781169,-1.575483401570508,0.0,0.2791698693312836,0.408,24/24,58.43%,CSNK1D;SDCCAG8;MNAT1;PSMA1;OFD1;PSMC3;PPME1;CETN2;CEP43;TP53;DCTN2;MZT1;CENPF;DYNC1H1;CEP164;PPP1R12A;CDK1;PPP1R12B;CEP152;DCTN1;CDKN1A;FKBPL;SSNA1;PSMD1
prerank,REACTOME_MTOR_SIGNALLING,-0.5251851851851852,-1.563036555155843,0.020833333333333332,0.27093951398332644,0.424,11/11,47.73%,TSC1;EIF4E;AKT2;EIF4B;STK11;LAMTOR5;PRKAG3;AKT1S1;EIF4G1;PRKAB1;EIF4EBP1
prerank,REACTOME_S_PHASE,-0.4691526142213443,-1.5614554657365143,0.021739130434782608,0.2533435818601076,0.425,5/15,13.87%,MAX;PCNA;MNAT1;PSMA1;PSMC3
prerank,REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM,0.7341666461577674,1.559102449499922,0.002066115702479339,0.5470884716047407,0.405,9/19,10.73%,DCN;PRELP;CSPG4;OGN;ACAN;HSPG2;AGRN;VCAN;OMD
