Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,KEGG_ACUTE_MYELOID_LEUKEMIA,-0.60681157318592,-1.9289310432142242,0.0,0.14908256880733944,0.026694045174537988,3/13,6.53%,KIT;FLT3;HRAS
prerank,KEGG_PEROXISOME,-0.44114370590419605,-1.526910781784035,0.021739130434782608,0.41857798165137616,0.1324435318275154,18/18,56.22%,SCP2;SOD2;HMGCL;PRDX1;ACSL1;SOD1;PMVK;EPHX2;ECI2;PECR;ACOX1;AGXT;CAT;ACAA1;HAO1;NOS2;PRDX5;MVK
prerank,KEGG_GAP_JUNCTION,-0.42156577770600934,-1.4938827133997006,0.017543859649122806,0.3211009174311927,0.14887063655030802,6/17,7.01%,EGFR;GNAS;CSNK1D;SRC;HRAS;PLCB1
prerank,HALLMARK_IL6_JAK_STAT3_SIGNALING,0.6452235588452898,1.487130695765794,0.0,0.4783738938053097,0.383,30/56,22.13%,CXCL9;TNFRSF12A;FAS;CXCL10;ACVRL1;TNFRSF1A;TNFRSF1B;CCL7;IL6;REG1A;TNF;OSMR;IL15RA;TNFRSF21;LTBR;IFNGR1;IL10RB;IL4R;IL6ST;PLA2G2A;LEPR;CSF1;IL12RB1;IL2RA;TGFB1;CD38;CD14;HMOX1;CXCL11;IL17RB
prerank,HALLMARK_PI3K_AKT_MTOR_SIGNALING,-0.3641543752521473,-1.4366781527074184,0.0,0.3211009174311927,0.19609856262833675,6/25,11.36%,FASLG;EGFR;HRAS;PLCB1;HSP90B1;GNGT1
prerank,KEGG_P53_SIGNALING_PATHWAY,0.6656071628442828,1.4246337620532057,0.00932642487046632,0.6519773230088496,0.727,3/22,2.51%,TNFRSF10B;FAS;SHISA5
prerank,KEGG_TGF_BETA_SIGNALING_PATHWAY,0.6606155915955565,1.4223031114762088,0.012358393408856848,0.4523691002949852,0.74,13/22,23.83%,DCN;TGFBR2;ACVRL1;COMP;LEFTY2;TNF;FST;INHBB;SMAD5;THBS4;INHBC;TGFB1;IFNG
prerank,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.578973122205555,1.3677658641469514,0.0,0.7362071349557523,0.935,50/106,24.12%,ELN;ACTA2;TNFRSF11B;DCN;IGFBP4;TNFRSF12A;FAS;CDH2;FSTL3;SFRP1;CTHRC1;PCOLCE;ITGAV;COMP;SPP1;CD59;PLAUR;LRP1;EDIL3;IL6;IGFBP2;CCN1;COL6A3;LGALS1;FBLN2;ITGB5;ITGB1;IL32;TIMP1;VCAN;VCAM1;CXCL8;ITGA5;TFPI2;CAPG;SCG2;CDH6;SPOCK1;VEGFA;TGFBR3;NOTCH2;TGFB1;THY1;PRSS2;FAP;QSOX1;MFAP5;MMP1;MATN2;ADAM12
prerank,KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.6237043937955604,1.3518293302812279,0.013278855975485188,0.723733407079646,0.963,16/25,26.96%,TNFSF13;CCL27;CCL25;CD80;IL6;IL15RA;LTBR;CCL28;HLA-DRA;TNFRSF13B;TNFRSF17;TGFB1;CD28;TNFSF13B;CD40;PIGR
prerank,KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.6422797526956794,1.3517696103643253,0.03182751540041068,0.6035398230088496,0.963,6/21,15.01%,NEFL;TNFRSF1A;TNFRSF1B;NOS1;TNF;BCL2
prerank,KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.642234978455604,1.3101408099234277,0.08431163287086446,0.8637918773704172,0.995,7/14,23.16%,OCLN;ITGB1;CDH1;LY96;CD14;KRT18;EZR
prerank,KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.5555669450958886,1.3006717746684588,0.014014014014014014,0.8397262168141594,0.996,31/62,31.65%,CXCL9;CXCL14;CCL27;CXCL10;CCL3;CCL11;CCL25;CCL18;CCL7;CCL15;CXCL8;CCL16;CXCL16;CCL13;CCL28;CCL23;CCL4;CCL14;CX3CL1;CCL20;CCL8;CCL2;CXCL11;CCL17;CCL19;XCL1;CCL24;CCL21;CCL22;PXN;CXCL13
prerank,HALLMARK_HEDGEHOG_SIGNALING,0.6288048446330884,1.2957286978275462,0.10911016949152542,0.7897646263520157,0.996,7/14,21.17%,ADGRG1;NRP2;L1CAM;SCG2;VEGFA;THY1;NRP1
prerank,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,0.5923971491953898,1.2871101337932356,0.07324516785350967,0.7817726769911505,0.997,15/26,29.10%,IFI30;B2M;CD74;KLRD1;HLA-E;CTSL;CD4;KIR2DL2;KIR2DL3;HLA-DRA;CTSS;CTSB;HSPA2;PDIA3;HLA-A
prerank,HALLMARK_IL2_STAT5_SIGNALING,0.5496195042873468,1.2816099653028001,0.015,0.7534895414320193,0.998,29/77,21.17%,CDCP1;NCS1;FLT3LG;CXCL10;TNFRSF9;ITGAV;SPP1;IGF1R;TNFRSF1B;PENK;AHNAK;CKAP4;TNFRSF4;ALCAM;COCH;TNFRSF21;CAPG;IFNGR1;IGF2R;FURIN;IL4R;BCL2;CD79B;CTSZ;CD83;TNFRSF8;CSF1;IL2RA;NRP1
prerank,HALLMARK_TGF_BETA_SIGNALING,0.621191440336599,1.2788095857390076,0.11075612353567625,0.7130600110619468,0.998,5/14,20.62%,LTBP2;LEFTY2;CDH1;FURIN;TGFB1
prerank,KEGG_ARACHIDONIC_ACID_METABOLISM,0.6512474515763682,1.2575295043779395,0.13736263736263737,0.8199093771272975,1.0,6/10,26.93%,PTGDS;PLA2G10;LTA4H;PLA2G2A;GGT5;GGT1
prerank,HALLMARK_INFLAMMATORY_RESPONSE,0.528423353917608,1.241714302930947,0.017,0.893246286346397,1.0,48/88,33.49%,CXCL9;MSR1;ADM;F3;CXCL10;DCBLD2;TNFRSF9;LAMP3;PLAUR;EDN1;TNFRSF1B;CCL7;IL6;TIMP1;MARCO;CLEC5A;OSMR;CXCL8;CD70;IL15RA;ITGA5;CD55;PCDH7;IL4R;ICAM1;CX3CL1;MEP1A;CSF1;CCL20;CCL2;CD14;CXCL11;CCL17;LDLR;CD40;IL1R1;CCL24;CD48;ICAM4;IL12B;IL18R1;CCL22;BST2;TLR3;TLR1;AXL;ADGRE1;SLAMF1
prerank,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.5154383687807392,1.2344654099911694,0.001,0.8902212389380532,1.0,78/171,25.64%,EDA2R;TNFRSF11B;CXCL9;TNFRSF10B;CXCL14;TNFSF13;TNFRSF12A;FAS;CCL27;FLT3LG;CXCL10;TGFBR2;CCL3;CCL11;TNFRSF9;TNFRSF19;ACVRL1;TNFRSF10A;TNFRSF1A;CCL25;CCL18;TNFRSF1B;TNFRSF11A;CCL7;IL6;PDGFRA;CCL15;TNFRSF4;TNF;CD27;TNFRSF6B;OSMR;INHBB;CXCL8;CD70;IL15RA;TNFRSF14;TNFRSF21;RELT;CCL16;LTBR;IFNGR1;IL10RB;CXCL16;HGF;IL4R;CCL13;IL6ST;VEGFB;CCL28;CCL23;CCL4;CCL14;CX3CL1;TNFRSF8;LEPR;CSF1;TNFRSF13B;INHBC;VEGFA;CCL20;IL12RB1;CCL8;IL2RA;TNFRSF17;TGFB1;CCL2;CXCL11;IL5RA;IL17RB;CCL17;KITLG;CCL19;IFNG;LIFR;FLT1;TNFSF13B;CD40
prerank,KEGG_CELL_ADHESION_MOLECULES_CAMS,0.5261892241293753,1.2292906848650842,0.043,0.8745540652654867,1.0,38/71,29.10%,NFASC;CDH2;JAM2;ITGAV;CD80;CD276;OCLN;HLA-E;CNTN2;CDH15;ITGB1;VCAN;CD99;SIGLEC1;ALCAM;VCAM1;CD4;CDH1;L1CAM;NECTIN2;ICAM1;HLA-DRA;ITGB2;PTPRF;NEO1;PTPRM;ESAM;PDCD1LG2;NCAM1;ITGAL;PDCD1;CD28;CNTN1;CD40;PTPRC;CD274;CNTNAP2;HLA-A
prerank,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.5860034232121946,1.2278988254611518,0.14669421487603307,0.833498178032275,1.0,7/18,14.61%,CDH2;ITGAV;DSC2;ITGB5;ITGB1;ITGA5;ACTN2
prerank,HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.5227534908680693,1.2238815963207954,0.059,0.8166743485742379,1.0,30/69,30.62%,F3;CXCL10;TNFRSF9;CD80;PLAUR;EDN1;IL6;CCN1;TNF;IL15RA;PLAU;IL6ST;EFNA1;ICAM1;CCL4;CD83;CSF1;VEGFA;CCL20;B4GALT1;CCL2;NINJ1;CXCL11;LDLR;KLF4;KYNU;TNFAIP2;IL12B;SERPINB8;TNC
prerank,KEGG_GRAFT_VERSUS_HOST_DISEASE,0.5803648449701361,1.2144139740040951,0.17045454545454544,0.8447572193758733,1.0,11/18,24.75%,FAS;CD80;KLRD1;HLA-E;IL6;TNF;KIR2DL2;KIR2DL3;HLA-DRA;IFNG;CD28
prerank,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.5529754960050571,1.1919997063790382,0.17520491803278687,0.9784803650442477,1.0,8/22,19.73%,TNFRSF12A;PLAUR;LGALS3;ALCAM;CXCL16;ABCA2;ANXA5;S100A11
prerank,HALLMARK_UV_RESPONSE_DN,0.5289167712419892,1.188181429571342,0.1398390342052314,0.962912189211968,1.0,17/38,29.62%,EFEMP1;F3;TGFBR2;IGF1R;CCN1;GCNT1;TFPI;DDAH1;TGFBR3;NOTCH2;PTPRM;NRP1;ATRN;LDLR;ANXA2;PDGFRB;ERBB2
prerank,KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.5238756539158071,1.1875041559726773,0.15609264853977844,0.9244820997586484,1.0,18/39,33.27%,CXCL9;CXCL10;CCL3;SPP1;CD80;IL6;TNF;CXCL8;CCL4;LY96;CD14;CXCL11;CD40;MAPK9;IL12B;TLR3;TLR1;CASP8
prerank,KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM,-0.39273805113004817,-1.1852936699922831,0.22077922077922077,0.9552752293577982,0.5441478439425051,12/12,60.94%,PLCB1;IMPA1;INPPL1;DGKZ;PTEN;PLCB2;DGKA;INPP5D;INPP5J;PIKFYVE;INPP1;ITPR1
prerank,HALLMARK_APICAL_SURFACE,0.5533823074612191,1.1764372956786566,0.22698744769874477,0.9702036841092728,1.0,8/17,24.01%,SRPX;DCBLD2;PLAUR;PCSK9;CX3CL1;B4GALT1;THY1;EPHB4
prerank,KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT,-0.3481646273637375,-1.1731478767254815,0.21052631578947367,0.845756880733945,0.5667351129363449,14/14,65.40%,VAMP8;STX5;STX6;STX16;SNAP23;SNAP25;SNAP29;STX3;STX7;STX8;VTI1A;VAMP5;STX4;STX1B
prerank,HALLMARK_APICAL_JUNCTION,0.4980600625178839,1.1700933132022002,0.1041041041041041,0.9765728705752214,1.0,32/75,28.55%,TNFRSF11B;PKD1;LAYN;NFASC;CD276;CDH15;ITGB1;VCAN;CD99;VCAM1;PCDH1;CDH1;MDK;NECTIN2;ACTN2;ADAM9;ICAM1;COL9A1;CDH6;VWF;CX3CL1;B4GALT1;THY1;CNTN1;ADAM15;ITGA2;ADAM23;PTPRC;CD274;ICAM4;NECTIN4;SIRPA
prerank,KEGG_VIRAL_MYOCARDITIS,0.5356776068215174,1.1678480087303074,0.20304568527918782,0.9544845132743364,1.0,13/25,33.27%,CD80;HLA-E;CD55;ICAM1;HLA-DRA;ITGB2;ITGAL;CD28;CD40;DMD;HLA-A;CXADR;CASP8
prerank,KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.5970574184325852,1.1641869948596137,0.24944320712694878,0.9460315265486725,1.0,2/10,3.73%,CHIT1;NPL
prerank,KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.5123365174708243,1.1631392106937015,0.15731462925851702,0.9184550147492626,1.0,31/49,34.30%,F3;PLAT;FGA;CD59;PLAUR;C7;CFD;TFPI;CD55;THBD;PLAU;CD46;VWF;CFI;C4BPB;SERPING1;F9;F13B;C2;CFH;F7;PROC;PROS1;MASP1;C5;C9;CPB2;C1QA;C1S;CFB;SERPINA5
prerank,HALLMARK_ANGIOGENESIS,0.5293171341979175,1.1624180112177986,0.22131979695431472,0.8907050015802781,1.0,17/25,36.11%,ITGAV;SPP1;TIMP1;VCAN;THBD;TNFRSF21;STC1;VEGFA;NRP1;LRPAP1;APOH;PRG2;FSTL1;POSTN;LPL;SERPINA5;CCND2
prerank,KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.5280226652518152,1.1554484118261086,0.21862348178137653,0.9074973298748856,1.0,12/28,23.16%,JAM2;OCLN;ITGB1;CD99;VCAM1;ACTN2;ICAM1;ITGB2;THY1;ESAM;ITGAL;EZR
prerank,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.532262839848904,1.1523802150200368,0.23439099283520984,0.8981655604719764,1.0,17/23,40.91%,ITGAV;MYL3;IL6;ITGB5;ITGB1;TNF;ITGA5;TGFB1;DMD;ITGA2;ACE;ITGA11;TTN;TNNI3;TPM3;ITGB7;DAG1
prerank,KEGG_PPAR_SIGNALING_PATHWAY,0.5284055252733906,1.150669226448695,0.25839267548321465,0.88116703539823,1.0,12/24,26.04%,FABP3;FABP1;SORBS1;APOA2;FABP4;ANGPTL4;ADIPOQ;FABP2;PLIN1;FABP6;MMP1;APOA1
prerank,KEGG_NON_SMALL_CELL_LUNG_CANCER,-0.3604259295829817,-1.1476910889746867,0.21621621621621623,0.8011140235910877,0.5944558521560575,3/14,6.53%,EGFR;FOXO3;HRAS
prerank,KEGG_APOPTOSIS,0.5115150621398129,1.1430099075538822,0.2086258776328987,0.9022556001106196,1.0,6/38,15.01%,TNFRSF10B;FAS;TNFRSF10A;TNFRSF1A;TNF;BCL2
prerank,HALLMARK_MYOGENESIS,0.4922061911688629,1.1371367377702275,0.169,0.9126097814427461,1.0,17/62,14.61%,FABP3;IGFBP7;SOD3;MYL3;PLXNB2;CKB;MB;COL6A3;AGRN;ITGB5;ITGB1;NOS1;CFD;FST;SORBS1;CSRP3;ACTN2
prerank,HALLMARK_ALLOGRAFT_REJECTION,0.4832582822136454,1.1341234816102943,0.132,0.9053349492451849,1.0,48/102,31.69%,CXCL9;FAS;B2M;CD74;CCL11;CD80;KLRD1;HLA-E;CCL7;IL6;TIMP1;TNF;GCNT1;INHBB;CD4;CAPG;IFNGR1;BCAT1;IL4R;CCL13;ICAM1;CRTAM;CCL4;IL16;HLA-DRA;ITGB2;CTSS;CSF1;IL12RB1;IL2RA;TGFB1;THY1;CCL2;ITGAL;CCL19;IFNG;CD28;CD40;NCR1;C2;GZMA;PTPRC;IL12B;HLA-A;CCL22;TLR3;CXCL13;TLR1
prerank,KEGG_AXON_GUIDANCE,0.5014556998338121,1.1261132494008474,0.2592964824120603,0.9308817951959545,1.0,14/37,24.01%,EPHA2;PLXNB2;EFNA4;ITGB1;SEMA4C;L1CAM;EFNA1;SEMA3F;ROBO2;SEMA7A;NRP1;EPHA1;PPP3R1;EPHB4
prerank,HALLMARK_ANDROGEN_RESPONSE,0.5141897360479609,1.122494780429239,0.2777777777777778,0.9280043940511307,1.0,13/23,36.04%,B2M;ITGAV;MERTK;KRT19;ADAMTS1;B4GALT1;GSR;SELENOP;LIFR;KLK3;HSD17B14;AKAP12;KRT8
prerank,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.4994532779389535,1.081997015761728,0.3637284701114488,1.0,1.0,15/26,33.35%,CD80;C7;TNF;ACTN2;HLA-DRA;IFNG;CD28;CD40;C2;FCGR2A;C5;C9;C1QA;C1S;ACTN4
prerank,HALLMARK_APOPTOSIS,0.4647131567677546,1.0805684729677956,0.2928786359077232,1.0,1.0,22/70,23.76%,DCN;TNFRSF12A;FAS;PLAT;LGALS3;IL6;TIMP1;TNF;IGFBP6;IFNGR1;IGF2R;HGF;TIMP2;ANXA1;TGFBR3;CD38;CD14;HMOX1;GSR;BCL2L11;KRT18;PPP3R1
prerank,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.4942497250814769,1.0792945370424878,0.35787321063394684,1.0,1.0,8/25,20.88%,CCL11;CCL7;IL6;TNF;CXCL8;CCL13;CCL8;CCL2
prerank,HALLMARK_KRAS_SIGNALING_UP,0.4628498915649803,1.0771453868359535,0.284,1.0,1.0,37/78,36.11%,SPON1;ITGBL1;CXCL10;DCBLD2;PLAT;SPP1;PLAUR;TNFRSF1B;ANXA10;TSPAN1;TFPI;ST6GAL1;PLAU;GPNMB;ANGPTL4;ITGB2;CTSS;CCL20;IL1RL2;LY96;PDCD1LG2;NRP1;SPARCL1;KLF4;CFH;ITGA2;PIGR;SERPINA3;SOX9;ACE;AKAP12;CFB;CPE;CFHR2;ADAM8;FLT4;CCND2
prerank,KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY,0.46784053365309397,1.069163275105486,0.3457286432160804,1.0,1.0,18/46,29.10%,TNFRSF10B;FAS;TNFRSF10A;KLRD1;HLA-E;TNF;IFNGR1;ULBP2;ICAM1;KIR2DL2;KIR2DL3;ITGB2;ITGAL;PPP3R1;IFNG;NCR1;CD48;HLA-A
prerank,HALLMARK_INTERFERON_GAMMA_RESPONSE,0.45450999730356817,1.0685036510479724,0.302,1.0,1.0,31/79,33.68%,CXCL9;FAS;IFI30;CXCL10;B2M;CD74;IL18BP;CCL7;IL6;IDO1;VCAM1;IL15RA;IL4R;ICAM1;SERPING1;CD38;CCL2;CXCL11;CD40;CFH;XCL1;GZMA;CD274;OGFR;TNFAIP2;HLA-A;BST2;UBE2L6;C1S;CASP8;CFB
prerank,KEGG_NITROGEN_METABOLISM,-0.34198241736290463,-1.067847852953483,0.2923076923076923,0.976920871559633,0.7012320328542094,3/12,3.14%,CA14;CA6;CA4
prerank,KEGG_ECM_RECEPTOR_INTERACTION,0.4773392212553882,1.0671826041243095,0.35750251762336355,1.0,1.0,20/40,32.53%,ITGAV;COMP;SPP1;HSPG2;COL6A3;AGRN;ITGB5;ITGB1;ITGA5;VWF;THBS4;LAMB1;ITGA2;FN1;TNC;TNN;COL4A1;COL5A1;ITGA11;CHAD
prerank,KEGG_ALLOGRAFT_REJECTION,0.5199976958436595,1.0671552416848324,0.39957716701902746,1.0,1.0,10/16,29.10%,FAS;CD80;HLA-E;TNF;HLA-DRA;IFNG;CD28;CD40;IL12B;HLA-A
prerank,HALLMARK_COAGULATION,0.4583953362889472,1.0660316100913825,0.34168336673346694,1.0,1.0,45/82,34.78%,F3;MMP7;PLAT;COMP;CRIP2;FGA;S100A13;LRP1;LEFTY2;TIMP1;CFD;THBD;TFPI2;PLAU;FURIN;ADAM9;LTA4H;VWF;CFI;MEP1A;ANXA1;SERPING1;F9;F13B;MMP1;HRG;CTSB;CTSH;C2;APOA1;CTSO;CFH;ITGA2;DPP4;PROC;PROS1;FN1;C9;CPB2;ANG;C1QA;C1S;CFB;TIMP3;CTSE
prerank,KEGG_ASTHMA,0.5502950671588742,1.065478830802742,0.4092920353982301,1.0,1.0,5/11,25.64%,CCL11;TNF;HLA-DRA;PRG2;CD40
