Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Complement and coagulation cascades	38/85	2.611751e-19	7.756901e-17	0	0	9.100098e+00	3.893850e+02	CFD;C1QA;C1S;PROS1;C4BPA;PLAT;C4BPB;C8B;CLU;KNG1;SERPINA5;C4B;C4A;VTN;C8G;C7;C9;CD55;FGB;FGA;F10;SERPIND1;F12;FGG;F11;F2;F5;F7;F8;F9;PROC;CFHR2;CFHR1;CFHR3;SERPING1;CFHR5;MASP1;KLKB1
KEGG_2021_Human	Spliceosome	42/150	1.090014e-12	1.618671e-10	0	0	4.373261e+00	1.204607e+02	TCERG1;SF3B3;DDX46;HNRNPU;U2AF1;USP39;PRPF8;EFTUD2;SART1;SNRNP70;U2AF2;PCBP1;TRA2B;SNRPB2;SNRPD3;HNRNPA1;SF3B1;SF3A3;ALYREF;BUD31;WBP11;LSM4;CDC40;LSM3;U2SURP;HNRNPK;SNW1;DDX39B;SRSF2;SNRNP27;SRSF3;SNRPE;SRSF4;SNRPA1;PRPF31;SNRPF;SRSF5;HNRNPC;SNRNP200;SNRPC;RBMX;SNRPB
KEGG_2021_Human	Coronavirus disease	53/232	8.619012e-12	8.532822e-10	0	0	3.339373e+00	8.507738e+01	NRP1;RPL32;RPL31;PIK3CD;PIK3CB;C8B;C4B;RPS4X;C4A;RPS14;RPL7A;C8G;RPS18;IL12B;JAK1;FGB;FGA;SYK;MMP1;FGG;MMP3;RPSA;RPS3A;TYK2;F2;ADAM17;OAS2;OAS3;RPL37A;RPL27;MASP1;RPL29;RPL28;IRF9;CFD;C1QA;RPL10;C1S;RPL11;PIK3R1;RPS15A;C7;C9;PLCG2;RPS27A;RPL19;ISG15;RPL23A;RPS25;CXCL10;TAB2;RPS23;NFKBIB
KEGG_2021_Human	Focal adhesion	42/201	2.024414e-08	1.384523e-06	0	0	2.962206e+00	5.247666e+01	TNXB;FLT1;LAMA2;PXN;TNC;PDGFA;ILK;PIK3CD;PIK3R1;PIK3CB;THBS4;MYL12B;IGF1R;THBS3;COMP;RAP1B;CDC42;PPP1CC;VTN;RAP1A;PDGFC;RAC2;SPP1;CAPN2;AKT1;PIP5K1B;RAC1;ITGA4;CAV1;ITGA1;VEGFD;PARVB;VAV1;VEGFA;COL4A2;MYL2;COL6A2;COL6A1;COL6A3;SOS1;DOCK1;SOS2
KEGG_2021_Human	Phagosome	35/152	2.330847e-08	1.384523e-06	0	0	3.347928e+00	5.883800e+01	COLEC12;COLEC11;DYNC1I2;TFRC;NCF2;MPO;THBS4;THBS3;COMP;SEC61A1;TUBA1C;TUBB6;TUBA1B;SEC61G;TUBB1;MRC1;CD14;RAC1;SEC61B;ATP6V1E1;HLA-DPA1;ATP6AP1;TUBB;SFTPD;HLA-B;HLA-C;HLA-A;TUBB4B;TUBA4A;MARCO;PIKFYVE;TUBB2A;CD209;CANX;CALR
KEGG_2021_Human	Salmonella infection	47/249	8.266068e-08	4.091704e-06	0	0	2.611095e+00	4.258310e+01	CYFIP1;NCKAP1;DYNC1I2;RALA;AHNAK;DCTN1;LY96;BRK1;PIK3CD;PIK3CB;PIK3C2A;MYL12B;HSP90B1;PYCARD;CDC42;TUBA1C;TUBA1B;TUBB6;KLC2;PODXL;TUBB1;TNFSF10;AKT1;CD14;RAC1;S100A10;MAP2K3;MAP2K4;ANXA2;EXOC7;TUBB;DYNLT3;IL18;DYNLL1;TUBB4B;TUBA4A;DNM2;TUBB2A;PTPRC;MYL2;EXOC4;ELMO1;ELMO2;TAB3;TAB2;EXOC5;GAPDH
KEGG_2021_Human	Regulation of actin cytoskeleton	42/218	2.222020e-07	9.427714e-06	0	0	2.673581e+00	4.095840e+01	CYFIP1;NCKAP1;PXN;PDGFA;BRK1;PIK3CD;IQGAP1;PIK3R1;ITGAE;PIK3CB;IQGAP2;ITGAL;KNG1;MYL12B;CDC42;PPP1CC;NRAS;TMSB4X;PDGFC;RAC2;MYH14;PIP5K1B;RAC1;GIT1;GSN;ITGA4;ITGA1;RRAS2;GNG12;F2;VAV1;ENAH;DIAPH2;PIKFYVE;CXCL12;MYL2;MYH9;EZR;ARHGEF7;SOS1;DOCK1;SOS2
KEGG_2021_Human	Protein processing in endoplasmic reticulum	34/171	1.461096e-06	5.165481e-05	0	0	2.772737e+00	3.725539e+01	TRAM1;UBXN1;ATF6B;UBXN2A;PRKCSH;HSP90B1;SEC61A1;BAG2;SEC61G;LMAN2;CAPN2;MAN1C1;MAN1A1;CAPN1;SEC61B;UBXN4;SIL1;SEC23B;UBQLN2;SEC24B;EIF2S1;RAD23B;PDIA4;ERN1;DNAJC3;DNAJA1;DNAJC1;DNAJC5;DNAJB11;CANX;PREB;HYOU1;CALR;CRYAB
KEGG_2021_Human	Cholesterol metabolism	16/50	1.565297e-06	5.165481e-05	0	0	5.229615e+00	6.990654e+01	CETP;LRP1;APOA2;PCSK9;APOA1;LCAT;LPL;APOC3;VAPB;APOC1;ANGPTL3;ANGPTL4;APOE;APOB;LDLR;PLTP
KEGG_2021_Human	Chemokine signaling pathway	36/192	3.071074e-06	9.121089e-05	0	0	2.578743e+00	3.273324e+01	CCL14;CCL13;CXCL9;CCL11;PXN;PIK3CD;CXCL1;PIK3R1;PIK3CB;CXCL13;CXCL14;RAP1B;CDC42;PREX1;NRAS;RAP1A;CXCR1;CXCR2;PLCG2;RAC2;AKT1;CCR6;RAC1;CCL16;CCL15;CCL20;GNG12;VAV1;CXCL10;CXCL12;ELMO1;XCL1;DOCK2;SOS1;SOS2;NFKBIB
