Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Fatty acid degradation,-0.7907718504718881,-1.895935118698503,0.0040650406504065045,0.19545196801126258,0.065,12/33,7.94%,ADH1A;ADH1C;ADH4;ECI2;EHHADH;ACAA1;CPT1A;ACOX1;HADH;ADH6;ECHS1;ACADVL
prerank,Pyruvate metabolism,-0.7847582818046603,-1.8859975076114368,0.008403361344537815,0.11592984377138613,0.076,8/34,7.24%,ADH1A;ADH1C;FH;ADH4;ADH6;ACSS2;DLD;LDHB
prerank,Peroxisome,-0.7558961438091351,-1.8629588764082126,0.004081632653061225,0.11050062243773993,0.103,10/39,3.61%,AGPS;SCP2;HMGCL;ECI2;EHHADH;SOD1;PRDX1;ACAA1;EPHX2;ACOX1
prerank,Tyrosine metabolism,-0.8142676276845653,-1.7306930831729521,0.014705882352941176,0.3401247482548932,0.317,4/15,4.34%,ADH1A;ADH1C;ADH4;ADH6
prerank,Complement and coagulation cascades,0.7612596863721949,1.6823674121440935,0.0,0.037976567431501046,0.044,27/73,8.22%,CFD;C4BPB;CFHR3;F8;SERPING1;PLAT;C4BPA;F11;F12;F2;FGB;C1S;F7;F5;PROS1;C4A;FGG;F9;CFHR1;KNG1;C7;C1QA;CFHR5;CFHR2;VTN;C9;F10
prerank,Proteasome,-0.6574724535852231,-1.6435157269073943,0.026200873362445413,0.47674950628629525,0.456,20/41,20.41%,PSMB1;PSMC4;PSMA6;PSMA2;PSMD4;PSMD7;PSMA4;PSMD1;PSMD13;PSMC3;PSMB9;PSMD6;PSMD9;PSMD11;PSMD3;PSMA7;PSMC2;PSMB7;PSMD14;PSMB2
prerank,Arrhythmogenic right ventricular cardiomyopathy,0.8202860246207818,1.6267943354441097,0.002717391304347826,0.08848540211539745,0.181,5/30,3.27%,CDH2;LAMA2;LMNA;ACTN2;DSC2
prerank,Metabolism of xenobiotics by cytochrome P450,-0.7213340971590304,-1.6231965598414586,0.01098901098901099,0.4493479068494222,0.504,4/23,4.34%,ADH1A;ADH1C;ADH4;ADH6
prerank,p53 signaling pathway,-0.7295608232867704,-1.6135450733096888,0.029900332225913623,0.4059597598889389,0.523,7/19,12.03%,SERPINE1;BAX;CDK2;CASP3;PTEN;APAF1;CYCS
prerank,N-Glycan biosynthesis,0.78901899317833,1.6120487238636922,0.005319148936170213,0.08557386527898236,0.251,6/30,8.84%,MGAT1;DPAGT1;MAN1C1;B4GALT1;MAN1A1;ALG12
